datum,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent
2022-11-28,94.5,94,95
2022-11-29,97.2,96,99
2022-11-30,92,89,95
2022-12-01,81.8,74,90
2022-12-02,89.2,86,93
2022-12-03,87.8,82,93
2022-12-04,86,80,93
2022-12-05,93.5,90,97
2022-12-06,86,80,90
2022-12-07,82.2,72,88
2022-12-08,84.8,77,88
2022-12-09,89,81,98
2022-12-10,81.5,77,84
2022-12-11,91.2,87,95
2022-12-12,84.2,72,92
2022-12-13,85,75,93
2022-12-14,85.2,78,90
2022-12-15,93.5,92,94
2022-12-16,83,75,89
2022-12-17,88.5,87,90
2022-12-18,90.5,85,94
2022-12-19,88.5,84,93
2022-12-20,91.8,89,95
2022-12-21,95,91,98
2022-12-22,90,76,96
2022-12-23,95,84,100
2022-12-24,84.5,77,97
2022-12-25,92.2,83,97
2022-12-26,76.2,68,85
2022-12-27,87.8,78,97
2022-12-28,84,75,98
2022-12-29,73.8,69,77
2022-12-30,88.8,79,93
2022-12-31,69.5,58,84
2023-01-01,80.5,64,89
2023-01-02,80.2,67,85
2023-01-03,85.5,71,98
2023-01-04,89,83,97
2023-01-05,78.8,72,87
2023-01-06,87.8,75,98
2023-01-07,81.8,71,87
2023-01-08,87.5,79,95
2023-01-09,83.5,77,96
2023-01-10,79,69,89
2023-01-11,87.2,80,94
2023-01-12,75.8,73,79
2023-01-13,72.8,68,76
2023-01-14,79.8,74,84
2023-01-15,84.5,71,93
2023-01-16,81.2,79,85
2023-01-17,77.8,72,90
2023-01-18,76,60,87
2023-01-19,87.8,75,93
2023-01-20,90.8,74,99
2023-01-21,88,80,97
2023-01-22,85.8,82,93
2023-01-23,82.5,77,90
2023-01-24,80,79,81
2023-01-25,88.2,84,96
2023-01-26,86.5,78,92
2023-01-27,87.8,77,97
2023-01-28,77,64,85
2023-01-29,73.5,64,86
2023-01-30,81,76,86
2023-01-31,83.2,77,91
2023-02-01,78.8,70,93
2023-02-02,75,71,79
2023-02-03,81,75,88
2023-02-04,77,68,82
2023-02-05,94,89,97
2023-02-06,78.2,67,89
2023-02-07,68.5,57,83
2023-02-08,70.5,47,86
2023-02-09,79.2,61,91
2023-02-10,81.5,64,93
2023-02-11,83.5,68,93
2023-02-12,89.2,82,93
2023-02-13,87.8,68,98
2023-02-14,94.2,91,98
2023-02-15,97.5,95,100
2023-02-16,93.8,85,99
2023-02-17,78,72,83
2023-02-18,72.8,62,82
2023-02-19,78,67,93
2023-02-20,75.8,58,97
2023-02-21,77,56,96
2023-02-22,80.5,62,96
2023-02-23,85.8,72,100
2023-02-24,72.8,57,90
2023-02-25,69.5,56,76
2023-02-26,60.8,50,77
2023-02-27,59.5,45,74
2023-02-28,62,48,76
2023-03-01,61.5,47,74
2023-03-02,59.5,50,70
2023-03-03,67.5,58,83
2023-03-04,79.2,70,93
2023-03-05,69.2,55,79
2023-03-06,71.8,65,79
2023-03-07,64.2,51,79
2023-03-08,77.2,59,94
2023-03-09,79.2,70,96
2023-03-10,73,68,82
2023-03-11,61.5,48,79
2023-03-12,81.5,65,93
2023-03-13,77,60,88
2023-03-14,73,62,83
2023-03-15,76.8,71,81
2023-03-16,76.8,56,98
2023-03-17,76.2,45,97
2023-03-18,63.5,39,86
2023-03-19,74.2,43,86
2023-03-20,73.5,58,91
2023-03-21,81.2,65,91
2023-03-22,73.8,49,95
2023-03-23,69.2,56,75
2023-03-24,68.8,49,80
2023-03-25,70,60,78
2023-03-26,81.5,72,93
2023-03-27,69.2,64,78
2023-03-28,67,49,88
2023-03-29,71.2,56,83
2023-03-30,76.5,65,92
2023-03-31,79.8,69,92
2023-04-01,73.2,70,75
2023-04-02,84.5,74,90
2023-04-03,64.2,48,84
2023-04-04,57.8,39,73
2023-04-05,57.2,37,79
2023-04-06,63.5,30,87
2023-04-07,86.5,76,94
2023-04-08,76,62,88
2023-04-09,66,41,88
2023-04-10,63.8,36,89
2023-04-11,71.2,57,90
2023-04-12,80.8,67,96
2023-04-13,72.5,64,87
2023-04-14,69.2,44,96
2023-04-15,77.8,49,93
2023-04-16,83.2,81,88
2023-04-17,80.8,71,90
2023-04-18,68.5,59,77
2023-04-19,62.2,38,79
2023-04-20,71.8,69,75
,75.2,20.5,100
