nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
,,,,,,16,8.1,0,-0.9,15.9,76.2,45,97,3066.9,1.6,11.83,0,98.3,43,35814.3,21.1,192.62,45.94,30,55,15,1.2,3.2,20.1,0
,,,,,,17,12.6,12.6,6.6,20.1,63.5,39,86,3773.3,2.1,11.89,11.89,110.9,55.6,39587.6,21.1,204.51,57.83,30,55,15,1.2,3.2,20.1,0
,,,,,,18,10.4,10.4,5.3,17.1,74.2,43,86,2440,2.4,11.95,11.95,121.3,66,42027.6,21.2,216.46,69.78,30,55,15,1.2,3.2,20.1,0
,,,,,,19,10.2,10.2,7.2,14.5,73.5,58,91,1844.7,2.6,12.01,12.01,131.5,76.2,43872.3,23.5,228.47,81.79,30,55,15,1.2,3.2,20.1,0.1
,,,,,,20,9.7,9.7,5.5,13.8,81.2,65,91,2245.6,2.3,12.07,12.07,141.2,85.9,46117.9,25.3,240.54,93.86,30,55,15,1.2,3.2,20.1,2.3
,,,,,,21,13.1,13.1,6.1,18.7,73.8,49,95,3721.4,3.8,12.14,12.14,154.3,99,49839.3,25.3,252.68,106,30,55,15,1.2,3.2,20.1,1.8
,,,,,,22,13.8,13.8,11.5,16.3,69.2,56,75,910.3,3.6,12.2,12.2,168.1,112.8,50749.6,25.5,264.88,118.2,30,55,15,1.2,3.2,20.1,0
,,,,,,23,13.7,13.7,10.1,16.9,68.8,49,80,1811.4,4.5,12.26,12.26,181.8,126.5,52561,26.2,277.14,130.46,30,55,15,1.2,3.2,20.1,0.2
,,,,,,24,10.3,10.3,7.3,14.6,70,60,78,2736.9,5.4,12.32,12.32,192.1,136.8,55297.9,27.6,289.46,142.78,30,55,15,1.2,3.2,20.1,0.7
,,,,,,25,8.8,0,6.5,13.5,81.5,72,93,2082.5,4,12.38,0,200.9,136.8,57380.4,33.6,301.84,142.78,30,55,15,1.2,3.2,20.1,1.4
,,,,,,26,4.7,0,0,8.7,69.2,64,78,3876.4,4.2,12.45,0,205.6,136.8,61256.8,33.8,314.29,142.78,30,55,15,1.2,3.2,20.1,6
,,,,,,27,4.9,0,-2.4,10.9,67,49,88,5244.2,1.8,12.51,0,210.5,136.8,66501,34.1,326.8,142.78,30,55,15,1.2,3.2,20.1,0.2
,,,,,,28,10.7,10.7,5,17.7,71.2,56,83,3482.2,3.2,12.57,12.57,221.2,147.5,69983.2,35.5,339.37,155.35,30,55,15,1.2,3.2,20.1,0.3
,,,,,,29,13.2,13.2,9,18.4,76.5,65,92,2659.4,4.3,12.63,12.63,234.4,160.7,72642.6,38.6,352,167.98,30,55,15,1.2,3.2,20.1,1.4
,,,,,,30,11.4,11.4,8,14.6,79.8,69,92,1629.4,5,12.69,12.69,245.8,172.1,74272,48.2,364.69,180.67,30,55,15,1.2,3.2,20.1,3.1
,,,,,,31,11,11,9.6,12.6,73.2,70,75,672.5,5.5,12.75,12.75,256.8,183.1,74944.5,48.3,377.44,193.42,30,55,15,1.2,3.2,20.1,9.6
,,,,,,32,7.7,0,2.5,10.8,84.5,74,90,1490.8,3.2,12.81,0,264.5,183.1,76435.3,48.6,390.25,193.42,30,55,15,1.2,3.2,20.1,0.1
,,,,,,33,4.5,0,-0.8,9.5,64.2,48,84,5107.5,3.4,12.87,0,269,183.1,81542.8,48.6,403.12,193.42,30,55,15,1.2,3.2,20.1,0.3
,,,,,,34,3.9,0,-2.3,9.7,57.8,39,73,6102.8,2.2,12.94,0,272.9,183.1,87645.6,48.6,416.06,193.42,30,55,15,1.2,3.2,20.1,0
