X,Y,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.5,Rho.6,Gamma,Feuchteind,Gamma_rho1
452767.42040,5472323.14918,69.10000,180,150,53,65,36,47,1.11000,163,0.00617
452765.74285,5472321.38121,69.10000,180,147,48,63,36,57,1.11000,161,0.00617
452764.92668,5472319.63585,69.10000,183,138,56,58,37,61,1.12000,163,0.00612
452764.79236,5472317.65211,69.20000,173,127,64,59,42,58,1.12000,154,0.00647
452765.33841,5472315.93084,69.20000,169,121,76,60,45,44,1.13000,150,0.00669
452823.65439,5472370.35608,69.20000,115,80,24,47,42,38,1.15000,100,0.01000
452821.55445,5472369.14779,69.20000,109,76,23,54,42,35,1.15000,95,0.01055
452819.63554,5472367.69964,69.20000,100,84,31,55,44,34,1.15000,86,0.01150
452818.11789,5472366.05235,69.20000,105,87,39,54,52,35,1.16000,90,0.01105
452816.38000,5472364.36434,69.20000,106,106,48,51,53,37,1.16000,91,0.01094
452814.52142,5472362.83623,69.20000,119,104,61,54,52,38,1.16000,102,0.00975
452812.58289,5472361.24779,69.20000,116,122,69,60,53,37,1.17000,99,0.01009
452810.44373,5472359.75891,69.20000,124,124,74,60,57,36,1.17000,106,0.00944
452808.52481,5472358.31076,69.20000,126,140,70,57,63,36,1.16000,109,0.00921
452806.36603,5472356.68159,69.10000,147,140,70,58,56,37,1.15000,128,0.00782
452804.34755,5472355.03280,69.10000,162,156,75,62,52,41,1.14000,142,0.00704
452802.42863,5472353.58465,69.10000,183,176,83,75,48,49,1.14000,161,0.00623
452800.41015,5472351.93587,69.10000,189,196,103,83,52,53,1.13000,167,0.00598
452798.17142,5472350.24636,69.10000,210,208,116,91,63,59,1.13000,186,0.00538
452796.03225,5472348.75748,69.10000,218,221,149,88,71,56,1.14000,192,0.00523
452794.01377,5472347.10870,69.10000,244,222,159,94,77,55,1.14000,214,0.00467
452791.77503,5472345.41919,69.10000,246,212,192,99,83,50,1.13000,217,0.00459
452789.69621,5472343.85036,69.10000,246,209,183,104,85,49,1.12000,219,0.00455
452787.45748,5472342.16085,69.10000,239,215,185,104,94,49,1.12000,213,0.00469
452785.43899,5472340.51206,69.10000,237,214,170,116,86,50,1.12000,212,0.00473
452783.29983,5472339.02318,69.10000,241,209,153,123,83,50,1.11000,217,0.00461
452781.22101,5472337.45435,69.10000,248,222,130,121,71,50,1.11000,224,0.00448
452779.30209,5472336.00620,69.10000,262,244,91,114,67,54,1.11000,236,0.00424
452777.22327,5472334.43737,69.20000,262,238,71,110,68,54,1.10000,238,0.00420
452775.08411,5472332.94850,69.20000,252,229,61,107,62,55,1.10000,229,0.00437
452773.26476,5472331.70098,69.20000,234,217,64,95,62,49,1.11000,211,0.00474
452771.34585,5472330.25283,69.20000,225,211,61,82,56,49,1.10000,204,0.00489
452769.64718,5472328.84540,69.20000,206,187,57,77,56,48,1.10000,187,0.00534
452767.78861,5472327.31729,69.10000,193,173,51,74,55,48,1.11000,175,0.00575
452766.07033,5472325.76957,69.10000,177,158,45,75,52,46,1.11000,160,0.00627
452764.67336,5472323.96237,69.10000,179,152,38,69,50,45,1.12000,160,0.00626
452763.71689,5472322.23662,69.10000,174,144,39,66,46,42,1.13000,154,0.00649
452762.98217,5472320.05075,69.10000,181,143,55,60,47,42,1.14000,159,0.00630
452763.08921,5472317.74720,69.20000,175,134,90,55,45,37,1.15000,153,0.00657
452763.77705,5472315.50547,69.20000,174,124,120,48,42,39,1.15000,151,0.00661
452831.48957,5472362.96698,69.50000,103,124,113,71,38,24,1.15000,89,0.01117
452829.41075,5472361.39816,69.50000,120,128,110,66,36,22,1.16000,104,0.00967
452827.43149,5472360.02996,69.50000,114,115,108,76,35,27,1.16000,98,0.01018
452825.29233,5472358.54108,69.50000,111,109,100,77,36,36,1.16000,95,0.01045
452823.37341,5472357.09293,69.40000,88,105,94,77,40,49,1.17000,75,0.01330
452821.23425,5472355.60406,69.50000,87,117,93,64,46,58,1.17000,75,0.01345
452819.09509,5472354.11518,69.40000,96,115,96,61,57,64,1.17000,82,0.01219
452817.07660,5472352.46640,69.40000,121,127,97,65,63,64,1.17000,103,0.00967
452814.99778,5472350.89757,69.40000,138,121,95,69,79,63,1.17000,118,0.00848
452763.61863,5472314.88396,69.10000,150,111,108,59,70,48,1.15000,130,0.00767
452762.81311,5472316.28391,69.10000,151,103,111,65,70,46,1.16000,131,0.00768
452761.78733,5472317.64314,69.10000,142,114,115,63,70,44,1.17000,122,0.00824
452760.82190,5472318.92242,69.00000,125,133,132,61,73,40,1.16000,107,0.00928
452759.79612,5472320.28165,69.00000,140,146,132,57,66,38,1.16000,120,0.00829
452758.64967,5472321.80079,69.00000,140,155,141,63,56,37,1.17000,120,0.00836
452757.50322,5472323.31993,68.90000,150,148,127,69,47,38,1.17000,128,0.00780
452756.29642,5472324.91902,68.90000,138,146,123,75,40,37,1.16000,120,0.00841
452755.29026,5472326.41855,68.90000,157,137,95,66,34,34,1.14000,137,0.00726
452754.36406,5472327.97841,68.80000,154,137,73,54,34,26,1.13000,136,0.00734
452753.27794,5472329.41760,68.80000,166,141,48,39,37,21,1.11000,149,0.00669
452752.25217,5472330.77683,68.80000,158,139,35,36,40,16,1.11000,142,0.00703
452751.16605,5472332.21602,68.80000,179,140,24,36,44,14,1.12000,160,0.00626
452750.01960,5472333.73516,68.70000,176,140,24,41,47,12,1.12000,157,0.00636
452748.93349,5472335.17434,68.70000,183,137,31,44,48,14,1.13000,162,0.00617
452747.78703,5472336.69348,68.60000,165,131,39,49,47,19,1.15000,144,0.00697
452746.80049,5472338.33330,68.50000,163,113,48,49,44,32,1.15000,142,0.00706
452745.77471,5472339.69253,68.50000,162,106,54,51,42,38,1.15000,141,0.00710
452744.84851,5472341.25240,68.40000,167,105,59,48,40,43,1.15000,145,0.00689
452743.98264,5472342.73231,68.30000,177,99,58,55,44,39,1.16000,153,0.00655
452743.29780,5472343.97235,68.30000,166,94,58,56,41,41,1.16000,144,0.00699
452742.65218,5472345.49299,68.30000,157,83,57,60,38,41,1.15000,136,0.00732
452742.06690,5472346.93367,68.20000,145,87,56,53,27,41,1.16000,125,0.00800
452741.80145,5472348.61571,68.20000,136,88,55,57,23,42,1.15000,118,0.00846
452741.63705,5472349.99754,68.10000,124,90,57,57,20,38,1.14000,109,0.00919
452742.01273,5472351.66146,68.00000,112,86,61,62,18,34,1.14000,98,0.01018
452742.56942,5472353.08551,68.00000,112,92,65,58,18,26,1.14000,98,0.01018
452743.24680,5472354.34966,67.90000,120,88,72,60,18,22,1.13000,106,0.00942
452744.16553,5472355.29398,67.90000,117,91,76,58,19,22,1.12000,105,0.00957
452745.30451,5472356.27903,67.90000,114,88,80,59,19,27,1.12000,102,0.00982
452746.56417,5472357.10418,67.90000,105,88,80,51,20,43,1.13000,93,0.01076
452747.82384,5472357.92932,67.90000,103,85,81,52,21,51,1.12000,92,0.01087
452749.04427,5472358.47387,67.90000,104,81,86,49,23,59,1.12000,92,0.01077
452750.34465,5472359.07876,67.90000,111,79,89,49,25,59,1.13000,99,0.01018
452751.48513,5472359.56297,67.90000,123,74,93,45,27,59,1.13000,109,0.00919
452752.72518,5472360.24782,67.90000,126,67,107,49,31,53,1.11000,113,0.00881
452754.32576,5472360.95377,68.00000,127,66,101,48,33,42,1.11000,115,0.00874
452755.64577,5472361.69896,68.00000,124,66,94,51,36,30,1.10000,112,0.00887
452757.38665,5472362.38530,68.00000,123,68,68,46,36,23,1.10000,112,0.00894
452758.98724,5472363.09125,68.00000,123,71,59,46,39,15,1.10000,112,0.00894
452760.70851,5472363.63730,68.00000,117,73,52,42,42,14,1.11000,105,0.00949
452762.41016,5472364.04305,68.00000,114,75,49,43,47,10,1.12000,102,0.00982
452764.19177,5472364.50914,68.10000,105,75,51,43,49,8,1.13000,93,0.01076
452766.03372,5472364.89528,68.10000,116,78,57,43,51,10,1.13000,103,0.00974
452767.95562,5472365.34175,68.10000,117,83,59,44,49,14,1.13000,104,0.00966
452769.67689,5472365.88780,68.10000,124,84,62,45,47,23,1.13000,109,0.00911
452771.47812,5472366.49418,68.10000,111,89,59,51,45,34,1.14000,97,0.01027
452772.89769,5472367.44000,68.10000,118,87,63,52,47,46,1.15000,103,0.00975
452774.07590,5472368.70564,68.10000,111,95,71,56,49,54,1.15000,97,0.01036
452774.63260,5472370.12970,68.10000,128,94,70,50,48,64,1.16000,110,0.00906
452774.84836,5472371.67293,68.00000,121,96,70,46,48,72,1.17000,104,0.00967
452774.34304,5472373.17395,68.00000,106,88,64,35,44,79,1.17000,91,0.01104
452773.81811,5472374.53468,67.90000,70,81,62,30,42,86,1.17000,60,0.01671
452772.87378,5472375.45341,67.80000,36,71,66,27,36,90,1.18000,31,0.03278
