X,Y,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.5,Rho.6,Gamma,Feuchteind,Gamma_rho1
452745.49002,5472354.53666,68.00000,83,75,100,52,57,48,1.10000,75,0.01325
452744.03121,5472353.31025,68.00000,80,83,113,59,53,52,1.11000,72,0.01388
452742.71271,5472352.06422,68.10000,82,79,119,62,53,53,1.11000,74,0.01354
452741.87542,5472350.67940,68.10000,99,77,116,62,49,49,1.12000,88,0.01131
452741.57970,5472349.07582,68.10000,113,64,120,59,44,49,1.13000,100,0.01000
452741.42428,5472347.45263,68.20000,117,61,113,56,42,48,1.12000,104,0.00957
452741.92960,5472345.95161,68.30000,111,65,105,54,42,48,1.12000,99,0.01009
452742.79546,5472344.47170,68.30000,107,68,99,49,41,45,1.13000,95,0.01056
452743.94042,5472343.45339,68.40000,111,86,96,50,39,40,1.14000,98,0.01027
452745.36448,5472342.89670,68.40000,131,90,92,52,36,34,1.14000,115,0.00870
452746.86849,5472342.40035,68.50000,138,107,84,50,38,32,1.14000,121,0.00826
452748.39062,5472342.54512,68.50000,151,110,83,50,38,36,1.15000,131,0.00762
452749.79207,5472342.84981,68.60000,158,124,83,52,40,43,1.14000,138,0.00722
452750.87220,5472343.41398,68.60000,165,125,73,60,41,54,1.14000,145,0.00691
452752.09263,5472343.95853,68.60000,171,134,60,60,44,55,1.14000,151,0.00667
452753.57254,5472344.82439,68.60000,183,137,41,58,51,53,1.13000,161,0.00617
452755.27270,5472345.73098,68.60000,203,144,31,55,51,47,1.12000,181,0.00552
452756.99248,5472346.77787,68.60000,227,173,25,61,48,47,1.12000,202,0.00493
452758.65191,5472347.90471,68.60000,230,181,32,68,44,52,1.12000,205,0.00487
452760.49087,5472349.29252,68.60000,231,210,44,72,47,54,1.12000,207,0.00485
452761.86972,5472350.45859,68.60000,229,182,60,68,47,51,1.12000,205,0.00489
452763.22895,5472351.48436,68.60000,214,176,77,62,44,44,1.12000,191,0.00523
452764.76771,5472352.77111,68.60000,198,146,90,63,46,38,1.13000,176,0.00571
452766.66700,5472354.07897,68.60000,183,162,101,61,47,36,1.13000,162,0.00617
452768.66587,5472355.58746,68.50000,177,159,105,61,49,35,1.13000,157,0.00638
452770.66474,5472357.09595,68.50000,174,159,114,53,47,35,1.12000,156,0.00644
452772.36341,5472358.50338,68.50000,164,147,117,52,50,38,1.12000,147,0.00683
452774.12241,5472359.83085,68.50000,180,146,121,54,52,41,1.12000,160,0.00622
452775.88142,5472361.15832,68.50000,180,145,116,60,57,45,1.13000,159,0.00628
452777.80033,5472362.60647,68.50000,185,150,115,65,57,46,1.14000,162,0.00616
452779.75997,5472363.83438,68.50000,182,157,111,69,60,50,1.15000,158,0.00632
452781.51898,5472365.16185,68.50000,186,176,112,72,59,49,1.16000,161,0.00624
452783.43789,5472366.61000,68.50000,179,168,123,74,57,53,1.16000,154,0.00648
452785.35681,5472368.05815,68.50000,167,168,133,76,56,53,1.16000,144,0.00695
452787.05547,5472369.46558,68.40000,179,164,159,73,50,51,1.16000,154,0.00648
452788.91405,5472370.99369,68.40000,204,173,177,69,48,47,1.15000,177,0.00564
452790.81335,5472372.30154,68.40000,219,199,173,60,41,43,1.14000,192,0.00521
452792.57235,5472373.62902,68.50000,226,188,144,58,38,40,1.13000,200,0.00500
452794.33136,5472374.95649,68.50000,229,192,107,57,38,37,1.12000,204,0.00489
452796.15070,5472376.20400,68.50000,222,166,87,54,35,33,1.13000,197,0.00509
452797.98966,5472377.59182,68.50000,209,161,71,47,34,33,1.13000,184,0.00541
452799.96892,5472378.96001,68.50000,187,138,60,43,31,31,1.14000,164,0.00610
452801.56802,5472380.16681,68.50000,185,123,53,39,30,30,1.15000,160,0.00622
452803.32702,5472381.49428,68.50000,186,114,52,39,32,28,1.15000,161,0.00618
452805.16598,5472382.88209,68.50000,174,110,57,37,32,26,1.15000,152,0.00661
452806.86465,5472384.28952,68.50000,166,105,78,41,32,26,1.15000,145,0.00693
452808.62365,5472385.61699,68.50000,142,105,91,40,30,27,1.15000,124,0.00810
452802.97134,5472393.27303,68.00000,114,87,66,38,36,29,1.14000,100,0.01000
452801.21234,5472391.94556,68.00000,113,90,59,42,38,27,1.14000,99,0.01009
452799.31304,5472390.63771,68.00000,120,92,54,41,37,31,1.15000,105,0.00958
452797.49369,5472389.39019,68.00000,122,107,48,43,34,33,1.15000,107,0.00943
452795.57478,5472387.94204,68.00000,135,100,42,42,31,32,1.14000,118,0.00844
452793.75543,5472386.69452,68.00000,128,97,43,44,29,30,1.14000,112,0.00891
452791.93609,5472385.44700,68.00000,122,84,46,43,35,27,1.14000,107,0.00934
452790.09713,5472384.05919,68.00000,105,89,53,43,35,27,1.15000,91,0.01095
452788.01830,5472382.49036,68.00000,96,91,56,44,36,27,1.16000,82,0.01208
452786.25929,5472381.16289,68.00000,98,95,71,44,34,27,1.17000,83,0.01194
452784.34038,5472379.71474,68.00000,99,97,71,49,37,29,1.18000,84,0.01192
452782.42146,5472378.26658,68.00000,107,101,69,46,37,29,1.18000,90,0.01103
452780.60212,5472377.01907,68.00000,108,103,58,45,35,29,1.19000,91,0.01102
452778.70282,5472375.71121,68.00000,110,102,55,38,32,28,1.18000,93,0.01073
452776.94381,5472374.38374,68.00000,109,101,50,39,34,30,1.18000,92,0.01083
452775.18481,5472373.05626,68.00000,103,100,44,37,35,32,1.18000,87,0.01146
452773.26589,5472371.60811,68.00000,105,99,38,36,41,35,1.17000,90,0.01114
452771.50689,5472370.28064,68.00000,98,106,35,35,43,39,1.17000,84,0.01194
452769.66793,5472368.89283,68.00000,98,109,30,40,48,45,1.17000,84,0.01194
452767.90892,5472367.56535,68.10000,94,109,25,42,48,48,1.17000,80,0.01245
452766.14992,5472366.23788,68.10000,101,105,21,47,53,46,1.17000,87,0.01158
452764.17066,5472364.86968,68.10000,111,108,21,48,50,41,1.16000,96,0.01045
452762.41166,5472363.54221,68.10000,116,117,24,54,48,39,1.14000,102,0.00983
452760.51236,5472362.23435,68.10000,134,133,26,52,41,37,1.13000,118,0.00843
452758.75335,5472360.90688,68.10000,145,151,28,51,43,42,1.12000,130,0.00772
452756.99435,5472359.57941,68.20000,159,163,41,53,40,41,1.11000,144,0.00698
452755.37564,5472358.23232,68.20000,169,164,62,53,44,39,1.11000,152,0.00657
452753.61663,5472356.90485,68.20000,174,164,58,53,42,32,1.12000,155,0.00644
452752.01754,5472355.69805,68.20000,161,169,53,45,43,30,1.12000,143,0.00696
452750.13785,5472354.53049,68.20000,137,158,42,44,38,32,1.12000,122,0.00818
452748.67905,5472353.30408,68.20000,118,143,42,43,37,34,1.12000,105,0.00949
452747.07996,5472352.09729,68.20000,122,120,30,46,35,35,1.11000,109,0.00910
452745.68150,5472350.79092,68.20000,112,109,17,47,34,35,1.11000,101,0.00991
452744.74464,5472349.20547,68.30000,116,108,28,47,34,35,1.10000,105,0.00948
452744.08838,5472347.58078,68.30000,109,105,45,47,38,38,1.11000,99,0.01018
452744.21354,5472345.91835,68.30000,116,118,66,48,43,38,1.11000,105,0.00957
452744.43827,5472344.45656,68.40000,128,129,107,49,48,39,1.12000,115,0.00875
452745.02355,5472343.01588,68.40000,140,132,124,51,52,40,1.13000,124,0.00807
452745.82908,5472341.61593,68.50000,147,123,133,53,51,43,1.14000,130,0.00776
452746.55315,5472340.65647,68.50000,142,108,108,62,50,45,1.14000,125,0.00803
452747.57743,5472339.79808,68.60000,145,119,103,68,48,49,1.14000,128,0.00786
452748.56099,5472339.15994,68.60000,156,127,104,73,48,49,1.13000,137,0.00724
452749.58527,5472338.30154,68.60000,175,149,107,66,50,48,1.12000,156,0.00640
452750.68950,5472337.50349,68.70000,180,146,109,63,52,43,1.12000,161,0.00622
452752.03360,5472336.88646,68.70000,189,149,120,60,53,43,1.12000,168,0.00593
452753.27664,5472336.56963,68.80000,180,137,124,64,50,43,1.12000,161,0.00622
452754.37938,5472336.27241,68.80000,186,136,129,62,51,43,1.11000,167,0.00597
452755.80194,5472336.21655,68.80000,178,132,136,61,49,42,1.10000,161,0.00618
452757.20339,5472336.52124,68.80000,169,140,129,58,49,44,1.09000,155,0.00645
452758.54450,5472336.90588,68.80000,166,136,115,58,44,42,1.09000,152,0.00657
452759.70459,5472337.53039,68.90000,155,131,87,58,44,44,1.09000,142,0.00703
452761.24484,5472338.31630,68.90000,150,112,77,60,44,40,1.10000,136,0.00733
452762.52411,5472339.28173,68.90000,131,109,71,56,45,43,1.12000,116,0.00855
452763.82300,5472340.38746,68.90000,130,103,66,55,43,40,1.14000,114,0.00877
452765.42210,5472341.59426,68.90000,129,97,66,51,44,40,1.14000,113,0.00884
452767.34101,5472343.04241,68.90000,123,94,71,54,48,37,1.15000,108,0.00935
452769.35950,5472344.69120,68.90000,117,103,77,48,49,36,1.15000,101,0.00983
452771.41871,5472346.11973,68.90000,122,129,88,44,48,39,1.15000,106,0.00943
452773.27728,5472347.64784,68.90000,134,144,90,41,45,39,1.15000,116,0.00858
452775.19620,5472349.09599,68.90000,149,152,93,46,49,41,1.15000,130,0.00772
452777.27502,5472350.66482,68.90000,157,142,89,52,54,39,1.13000,139,0.00720
452779.51375,5472352.35433,68.90000,160,135,85,58,54,39,1.12000,144,0.00700
452781.43267,5472353.80248,68.90000,162,127,94,59,54,42,1.11000,147,0.00685
452783.41192,5472355.17068,68.90000,161,127,90,64,51,45,1.10000,146,0.00683
452785.33084,5472356.61883,68.80000,169,130,90,67,51,46,1.11000,153,0.00657
452787.18941,5472358.14694,68.80000,183,145,77,69,49,44,1.13000,162,0.00617
452789.10833,5472359.59509,68.80000,194,163,77,67,51,40,1.14000,170,0.00588
452791.02724,5472361.04324,68.80000,206,166,74,67,59,41,1.15000,179,0.00558
452792.88582,5472362.57135,68.70000,204,156,72,65,65,43,1.14000,179,0.00559
452794.80473,5472364.01950,68.80000,198,143,67,70,63,50,1.12000,177,0.00566
452796.94389,5472365.50837,68.80000,196,144,69,68,57,56,1.11000,177,0.00566
452798.86281,5472366.95653,68.80000,195,159,78,76,53,55,1.09000,178,0.00559
452800.94163,5472368.52536,68.80000,206,164,89,84,51,52,1.09000,190,0.00529
452802.65991,5472370.07308,68.80000,210,188,97,87,45,50,1.10000,192,0.00524
452804.41892,5472371.40055,68.80000,224,225,107,80,41,53,1.11000,203,0.00496
452806.33783,5472372.84870,68.80000,214,241,112,63,44,51,1.11000,193,0.00519
452808.25675,5472374.29685,68.80000,200,217,121,53,48,46,1.11000,180,0.00555
452810.23600,5472375.66505,68.80000,174,156,109,50,52,42,1.12000,155,0.00644
452812.09458,5472377.19315,68.80000,176,113,94,50,57,42,1.12000,156,0.00636
452814.01350,5472378.64130,68.80000,159,100,68,56,53,45,1.13000,140,0.00711
452815.99275,5472380.00950,68.80000,161,99,51,59,48,49,1.14000,141,0.00708
452804.14189,5472390.39167,68.10000,128,116,91,39,29,38,1.16000,111,0.00906
452802.22298,5472388.94352,68.20000,147,110,96,39,29,34,1.14000,128,0.00776
452800.46397,5472387.61605,68.20000,145,112,103,39,29,33,1.14000,127,0.00786
452798.54506,5472386.16790,68.20000,155,117,120,40,33,32,1.16000,134,0.00748
452796.68648,5472384.63979,68.20000,159,116,125,39,33,32,1.17000,136,0.00736
452794.76757,5472383.19164,68.20000,173,115,130,40,33,33,1.17000,147,0.00676
452792.86827,5472381.88378,68.20000,176,112,121,43,31,36,1.18000,149,0.00670
452791.26917,5472380.67699,68.20000,155,127,113,47,31,50,1.18000,131,0.00761
452789.35026,5472379.22884,68.20000,147,139,94,45,31,55,1.17000,126,0.00796
