nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
,,,,,,56,8.8,0,2.8,11.4,72,49,94,3359.4,2.6,14.18,0,474.6,326.2,169586.2,78,701.53,371.02,15,25,60,1.2,3.62,19.82,1.4
,,,,,,57,7.3,0,-0.4,13.7,66.2,49,84,5946.9,1.4,14.23,0,481.9,326.2,175533.1,78,715.76,371.02,15,25,60,1.2,3.62,19.82,0
,,,,,,58,10.5,10.5,1.2,18.4,64,44,91,6183.3,1.3,14.29,14.29,492.4,336.7,181716.4,79.9,730.05,385.31,15,25,60,1.2,3.71,20.15,0
,,,,,,59,13.3,13.3,9.6,19.7,89.5,85,96,1543.9,2.1,14.34,14.34,505.7,350,183260.3,94.2,744.39,399.65,15,25,60,1.2,3.79,20.47,1.9
,,,,,,60,12.6,12.6,8.7,15.7,82.2,72,97,2672.5,2.6,14.4,14.4,518.3,362.6,185932.8,94.2,758.79,414.05,15,25,60,1.2,3.85,20.78,14.3
,,,,,,61,14.4,14.4,10.2,20.6,60.5,41,80,4847.5,2.5,14.45,14.45,532.7,377,190780.3,94.2,773.24,428.5,15,25,60,1.2,3.9,21.08,0
,,,,,,62,14.1,14.1,8.2,20.2,63.5,48,78,4763.3,1.5,14.51,14.51,546.8,391.1,195543.6,94.3,787.75,443.01,15,25,60,1.2,3.94,21.37,0
,,,,,,63,12.5,12.5,7.3,18,69.8,54,83,5117.5,3.2,14.56,14.56,559.3,403.6,200661.1,94.3,802.31,457.57,15,25,60,1.2,3.98,21.65,0.1
,,,,,,64,11.9,11.9,4.9,19.1,61.2,38,77,7221.9,2,14.61,14.61,571.2,415.5,207883,94.3,816.92,472.18,15,25,60,1.2,4.01,21.92,0
,,,,,,65,15.4,15.4,6.4,24.5,59.8,40,81,7047.8,1.9,14.67,14.67,586.6,430.9,214930.8,94.3,831.59,486.85,15,25,60,1.2,4.03,22.19,0
,,,,,,66,16.4,16.4,9.8,23.4,76.5,47,88,5111.9,2.7,14.72,14.72,603,447.3,220042.7,95.9,846.31,501.57,15,25,60,1.2,4.05,22.44,0
,,,,,,67,16.4,16.4,8.5,22.1,73,54,93,6229.2,1.5,14.77,14.77,619.4,463.7,226271.9,95.9,861.08,516.34,15,25,60,1.2,4.06,22.68,1.6
,,,,,,68,16.3,16.3,11.9,23.6,77.8,58,95,4225.8,1.7,14.82,14.82,635.7,480,230497.7,100.9,875.9,531.16,15,25,60,1.2,4.07,22.91,0
,,,,,,69,15.4,15.4,13.2,18.7,89.2,82,98,2102.8,1.2,14.87,14.87,651.1,495.4,232600.5,100.9,890.77,546.03,15,25,60,1.2,4.08,23.13,5
,,,,,,70,15.9,15.9,10.3,20.8,87,71,98,3244.7,2.2,14.92,14.92,667,511.3,235845.2,108.3,905.69,560.95,15,25,60,1.2,4.09,23.35,0
,,,,,,71,14.5,14.5,9.6,17.9,78.8,64,95,4021.1,3,14.97,14.97,681.5,525.8,239866.3,108.3,920.66,575.92,15,25,60,1.2,4.1,23.55,7.4
,,,,,,72,12.3,12.3,8.5,16.5,82.5,69,88,2740,1.5,15.02,15.02,693.8,538.1,242606.3,110.9,935.68,590.94,15,25,60,1.2,4.1,23.74,0
,,,,,,73,13.5,13.5,8.9,17.1,83.2,68,98,2231.1,1.9,15.07,15.07,707.3,551.6,244837.4,110.9,950.75,606.01,15,25,60,1.2,4.11,23.93,2.6
,,,,,,74,14.4,14.4,8.1,20.6,74.8,56,96,5306.1,2.2,15.12,15.12,721.7,566,250143.5,111.2,965.87,621.13,15,25,60,1.2,4.11,24.1,0
,,,,,,75,14.5,14.5,9.3,19.9,73.8,54,92,6009.2,2.3,15.16,15.16,736.2,580.5,256152.7,111.2,981.03,636.29,15,25,60,1.2,4.11,24.27,0.3
,,,,,,76,15.3,15.3,8,21.9,65,46,80,5813.9,2,15.21,15.21,751.5,595.8,261966.6,112.3,996.24,651.5,15,25,60,1.2,4.11,24.43,0
,,,,,,77,12.5,12.5,8.2,16.7,66.2,40,81,3592.2,4.5,15.26,15.26,764,608.3,265558.8,112.3,1011.5,666.76,15,25,60,1.2,4.11,24.58,1.1
,,,,,,78,11.7,11.7,5.8,17,60,45,73,6045.8,2.9,15.3,15.3,775.7,620,271604.6,112.3,1026.8,682.06,15,25,60,1.2,4.12,24.73,0
,,,,,,79,13,13,5.7,19.2,54.8,42,70,7941.4,3,15.34,15.34,788.7,633,279546,112.3,1042.14,697.4,15,25,60,1.2,4.12,24.86,0
,,,,,,80,14.7,14.7,7.9,20.5,59,46,70,5524.2,3,15.39,15.39,803.4,647.7,285070.2,112.3,1057.53,712.79,15,25,60,1.2,4.12,24.99,0
,,,,,,81,17,17,11.5,22.6,62.2,54,73,5999.2,4.1,15.43,15.43,820.4,664.7,291069.4,112.3,1072.96,728.22,15,25,60,1.2,4.12,25.11,0
,,,,,,82,22.62,22.62,18.74,25.92,58,58,58,6488.27,2.19,15.47,15.47,843.02,687.32,297557.67,112.3,1088.43,743.69,15,25,60,1.2,4.12,25.23,0
,,,,,,83,20.64,20.64,15.16,26.36,68.75,68.75,68.75,6488.27,1.8,15.51,15.51,863.67,707.97,304045.93,114.52,1103.94,759.2,15,25,60,1.2,4.12,25.33,0
,,,,,,84,14.73,14.73,13.29,16.26,81.25,81.25,81.25,6488.27,3.73,15.55,15.55,878.4,722.7,310534.2,114.9,1119.49,774.75,15,25,60,1.2,4.12,25.44,2.22
,,,,,,85,14.2,14.2,9.21,20.03,58.25,58.25,58.25,6488.27,3.05,15.59,15.59,892.6,736.9,317022.47,114.9,1135.08,790.34,15,25,60,1.2,4.12,25.53,0.38
,,,,,,86,15.46,15.46,9.49,20.6,68,68,68,6488.27,3.16,15.62,15.62,908.06,752.36,323510.73,114.9,1150.7,805.96,15,25,60,1.2,4.12,25.62,0
,,,,,,87,12.6,12.6,9.11,17.61,55.2,55.2,55.2,6488.27,4.24,15.66,15.66,920.66,764.96,329999,114.9,1166.36,821.62,15,25,60,1.2,4.12,25.71,0
