nFK_0010;nFK_1020;nFK_2030;nFK_3040;nFK_4050;nFK_5060;nFK_0010_Vortag;nFK_1020_Vortag;nFK_2030_Vortag;nFK_3040_Vortag;nFK_4050_Vortag;nFK_5060_Vortag;tage_seit_aussaat;Tmean_gradC;Tmean_th9_25_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;tageslicht_h;tageslicht_h_th9;Tmean_gradC_sum;Tmean_th9_25_gradC_sum;globalstrahlung_Wh_m2_sum;niederschlag_mm_sum;tageslicht_h_sum;tageslicht_h_th9_sum;Ton_prozent;Schluff_prozent;Sand_prozent;C_org_prozent;ibi;irmi;wasser_input_Vortag
-237.85;-223.93;-219.73;-219.51;-216.92;-213.94;-204.69;-209.52;-214.86;-219.09;-217.39;-214.05;49;9.10729166666667;9.10729166666667;3.4;14.9;60.1489583333333;95;20;21.70467;1.565625;13.85;13.85;373.765625;179.225;513.55737;82.6;606.2;198.83;35;35;30;0.1;2.07120202406666;16.5116515393371;2.4
-263.41;-241.23;-230.07;-224.71;-219.86;-215.64;-237.85;-223.93;-219.73;-219.51;-216.92;-213.94;50;8.49583333333333;0;2.6;14.6;67.175;95;20;12.22605;1.140625;13.91;0;382.261458333333;179.225;525.78342;82.6;620.11;198.83;35;35;30;0.1;2.07120202406666;16.5116515393371;0
-290.88;-259.03;-241.26;-231.57;-224.68;-218.99;-263.41;-241.23;-230.07;-224.71;-219.86;-215.64;51;9.89270833333333;9.89270833333333;2.9;16.8;58.9;95;20;24.65658;1.29375;13.96;13.96;392.154166666667;189.117708333333;550.44;82.6;634.07;212.79;35;35;30;0.1;2.29518207022483;16.9069514013439;0
-329.83;-280.72;-255.23;-240.07;-230.75;-223.41;-290.88;-259.03;-241.26;-231.57;-224.68;-218.99;52;12.2145833333333;12.2145833333333;2.7;21.1;55.059375;95;20;24.38271;1.03541666666667;14.02;14.02;404.36875;201.332291666667;574.82271;82.6;648.09;226.81;35;35;30;0.1;2.51458645699278;17.2976873222387;0
-361.12;-301.79;-269.19;-249.73;-237.74;-228.6;-329.83;-280.72;-255.23;-240.07;-230.75;-223.41;53;13.628125;13.628125;8.6;19;57.2239583333333;95;20;14.99625;1.1375;14.08;14.08;417.996875;214.960416666667;589.81896;82.6;662.17;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;0
-154.62;-209.75;-246.33;-251.21;-243.29;-233.84;-361.12;-301.79;-269.19;-249.73;-237.74;-228.6;54;7.58333333333333;0;3.5;12.2;74.2885416666667;95;20;6.00876;2.078125;14.14;0;425.580208333333;214.960416666667;595.82772;89.1;676.31;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;15
-201.83;-205.08;-217.03;-230.83;-234.09;-232.25;-154.62;-209.75;-246.33;-251.21;-243.29;-233.84;55;4.57708333333333;0;-0.3;8.8;73.2385416666667;95;20;16.17561;1.603125;14.2;0;430.157291666667;214.960416666667;612.00333;90.2;690.51;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;6.5
-182.09;-198.02;-211.36;-223.11;-226.48;-227.37;-201.83;-205.08;-217.03;-230.83;-234.09;-232.25;56;4.97083333333333;0;0.7;8;77.9270833333333;95;20;11.06388;1.890625;14.25;0;435.128125;214.960416666667;623.06721;95.1;704.76;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;1.1
-175.03;-187.96;-201.39;-214.81;-219.48;-222.12;-182.09;-198.02;-211.36;-223.11;-226.48;-227.37;57;5.39895833333333;0;2.4;9.7;70.0447916666667;95;20;18.86103;2.44583333333333;14.31;0;440.527083333333;214.960416666667;641.92824;99.9;719.07;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;4.9
-206.31;-201.75;-204.26;-211.69;-214.57;-217.21;-175.03;-187.96;-201.39;-214.81;-219.48;-222.12;58;5.64375;0;2.7;9.6;68.1395833333333;95;20;10.16991;2.81875;14.37;0;446.170833333333;214.960416666667;652.09815;100;733.44;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;4.8
-238.16;-222.95;-216.96;-217.19;-216.33;-216.43;-206.31;-201.75;-204.26;-211.69;-214.57;-217.21;59;6.04791666666667;0;-1.3;12.5;65.059375;95;20;20.44206;1.22708333333333;14.42;0;452.21875;214.960416666667;672.54021;100;747.86;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;0.1
-265.9;-242.76;-230.29;-225.11;-221.19;-218.76;-238.16;-222.95;-216.96;-217.19;-216.33;-216.43;60;7.33958333333333;0;0;13.6;63.0010416666667;95;20;14.66073;1.18958333333333;14.48;0;459.558333333333;214.960416666667;687.20094;100;762.34;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;0
-256.67;-250.17;-239.81;-232.61;-226.84;-222.49;-265.9;-242.76;-230.29;-225.11;-221.19;-218.76;61;8.73333333333333;0;0.8;16.3;70.14375;95;20;19.62558;2.59270833333333;14.53;0;468.291666666667;214.960416666667;706.82652;102.8;776.87;240.89;35;35;30;0.1;2.72452654901356;17.6831774788619;0
-210.62;-231.82;-236.86;-235.59;-230.86;-226.14;-256.67;-250.17;-239.81;-232.61;-226.84;-222.49;62;12.1927083333333;12.1927083333333;7;19.2;67.4541666666667;95;20;25.36551;4.575;14.59;14.59;480.484375;227.153125;732.19203;109.7;791.46;255.48;35;35;30;0.1;2.92688883674812;18.0747230847222;2.8
-264.93;-247.24;-238.33;-235.76;-232.01;-228.1;-210.62;-231.82;-236.86;-235.59;-230.86;-226.14;63;14.2895833333333;14.2895833333333;8.1;20.9;60.6354166666667;95;20;25.64316;1.303125;14.64;14.64;494.773958333333;241.442708333333;757.83519;109.7;806.1;270.12;35;35;30;0.1;3.11137210709948;18.4589614296334;6.9
-282.35;-264.94;-250.06;-241.39;-235.26;-230.34;-264.93;-247.24;-238.33;-235.76;-232.01;-228.1;64;11.1364583333333;11.1364583333333;6.8;15;68.2395833333333;95;20;12.33126;2.08020833333333;14.7;14.7;505.910416666667;252.579166666667;770.16645;110.4;820.8;284.82;35;35;30;0.1;3.27618999597471;18.8355461407346;0
-330.35;-290.2;-264.05;-249.8;-240.82;-234.09;-282.35;-264.94;-250.06;-241.39;-235.26;-230.34;65;10.3239583333333;10.3239583333333;2.8;16.8;56.6177083333333;95;20;27.00441;1.196875;14.75;14.75;516.234375;262.903125;797.17086;110.4;835.55;299.57;35;35;30;0.1;3.42058794509111;19.2036638416165;0.7
-208.24;-275.15;-274.48;-259.42;-248.13;-239.04;-330.35;-290.2;-264.05;-249.8;-240.82;-234.09;66;12.4802083333333;12.4802083333333;2.4;20.4;59.3354166666667;95;20;26.66799;1.82708333333333;14.8;14.8;528.714583333333;275.383333333333;823.83885;110.4;850.35;314.37;35;35;30;0.1;3.54500261753819;19.5628216436609;0
-274.23;-267.71;-261.73;-257.04;-250.27;-242.81;-208.24;-275.15;-274.48;-259.42;-248.13;-239.04;67;15.9604166666667;15.9604166666667;7.2;24.4;62.4052083333333;95;20;25.97301;1.08125;14.85;14.85;544.675;291.34375;849.81186;110.4;865.2;329.22;35;35;30;0.1;3.65065016254283;19.9125833985722;15
-346.73;-305.12;-276.74;-262.42;-253.33;-245.49;-274.23;-267.71;-261.73;-257.04;-250.27;-242.81;68;18.315625;18.315625;7.3;26.2;54.4645833333333;95;20;26.35677;1.484375;14.91;14.91;562.990625;309.659375;876.16863;110.4;880.11;344.13;35;35;30;0.1;3.73929740182869;20.2527951412886;0
-175.29;-238.96;-268.1;-266.46;-257.99;-249.28;-346.73;-305.12;-276.74;-262.42;-253.33;-245.49;69;19.8510416666667;19.8510416666667;10.9;25.6;42.7135416666667;95;20;26.87616;2.44479166666667;14.96;14.96;582.841666666666;329.510416666666;903.04479;110.4;895.07;359.09;35;35;30;0.1;3.81283389588508;20.5828968668214;15
-246.07;-246.41;-250.29;-255.17;-253.66;-249.24;-175.29;-238.96;-268.1;-266.46;-257.99;-249.28;70;20.3125;20.3125;15.3;25.5;48.271875;95;20;24.34644;2.24375;15.01;15.01;603.154166666666;349.822916666666;927.39123;110.4;910.08;374.1;35;35;30;0.1;3.87328549899945;20.9026255141992;0
-255.47;-258.24;-255.53;-254.45;-251.55;-248.02;-246.07;-246.41;-250.29;-255.17;-253.66;-249.24;71;17.53125;17.53125;12.5;20.6;67.10625;95;20;8.83053;0.96875;15.06;15.06;620.685416666666;367.354166666666;936.22176;112.2;925.14;389.16;35;35;30;0.1;3.92260346298045;21.211774808412;0
-307.26;-285.72;-268.25;-259.61;-253.79;-248.9;-255.47;-258.24;-255.53;-254.45;-251.55;-248.02;72;18.0572916666667;18.0572916666667;11;24;69.1625;95;20;21.19815;1.653125;15.11;15.11;638.742708333333;385.411458333333;957.41991;112.2;940.25;404.27;35;35;30;0.1;3.96258229912859;21.5101936805352;1.8
-291.93;-303.85;-281.99;-267.7;-258.73;-251.71;-307.26;-285.72;-268.25;-259.61;-253.79;-248.9;73;17.575;17.575;13.5;20.2;65.1666666666667;95;20;11.23074;1.35416666666667;15.15;15.15;656.317708333333;402.986458333333;968.65065;112.9;955.4;419.42;35;35;30;0.1;3.9947988025101;21.7975983723888;0
-290.71;-293.07;-283.43;-272.7;-263.6;-255.49;-291.93;-303.85;-281.99;-267.7;-258.73;-251.71;74;16.1125;16.1125;11.3;22.6;75.9885416666667;95;20;14.27472;1.096875;15.2;15.2;672.430208333333;419.098958333333;982.92537;114.6;970.6;434.62;35;35;30;0.1;4.02066329036211;22.0741428735501;15.7
-81.75;-76.84;-74.32;-74.25;-70.14;-65.99;0;0;0;0;0;0;1;6.73333333333333;0;3.6;9.9;79.7427083333333;95;20;5.66235;2.28854166666667;10.86;0;6.73333333333333;0;5.66235;1.1;10.86;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-104.78;-99.15;-95.75;-94.7;-90.18;-85.62;-81.75;-76.84;-74.32;-74.25;-70.14;-65.99;2;8.66979166666667;0;3;11.7;60.5479166666667;95;20;12.10815;2.98854166666667;10.92;0;15.403125;0;17.7705;1.4;21.78;0;35;35;30;0.1;0.177506972709907;10.6326655312179;1.1
-121.75;-115.27;-111.13;-109.01;-104.02;-99.1;-104.78;-99.15;-95.75;-94.7;-90.18;-85.62;3;5.81666666666667;0;0.4;11.6;69.7177083333333;95;20;8.62866;1.02916666666667;10.98;0;21.2197916666667;0;26.39916;1.4;32.76;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0.3
