"tage_seit_aussaat";"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"wetter_id";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"par_Wh_m2";"windgeschwindigkeit_m_s";"FAO56_mm";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"FAO56_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"wasser_input_Vortag"
34;50.31;58.97;63.31;71.97;81.19;94.73;92;16.79;16.79;11.1;22.2;71.03;49.9;94.1;3823.07;461.95;1.2;2.5;13.55;13.55;768.68;756.79;174752.55;20;130.2;492.27;492.27;20;30;50;1.2;50.07;59.99;64.95;74.87;82.7;95.5;0.4
35;55.32;61.7;64.9;71.28;80.9;93.7;93;16.86;16.86;12.4;21.5;71.5;54.3;88;2102.15;272.68;1;1.8;13.49;13.49;785.54;773.64;176854.7;20;132;505.76;505.76;20;30;50;1.2;50.31;58.97;63.31;71.97;81.19;94.73;19.4
36;74.29;72.07;70.97;68.75;81.03;92.21;94;16.03;16.03;12.9;21.7;86.12;62.2;93.9;2835.7;343.6;0.77;1.8;13.43;13.43;801.57;789.67;179690.4;46;133.8;519.19;519.19;20;30;50;1.2;55.32;61.7;64.9;71.28;80.9;93.7;0
37;121.53;109.19;103.02;90.68;90.42;84;95;16.95;16.95;14;22.6;71.54;45.1;90.9;3418.85;407.12;1.54;2.5;13.37;13.37;818.52;806.62;183109.25;46;136.3;532.56;532.56;20;30;50;1.2;74.29;72.07;70.97;68.75;81.03;92.21;26
38;106.27;104.41;103.47;101.61;93.87;85.21;96;16.98;16.98;11.3;22.9;65.71;42.1;83.2;4710.68;539.88;0.89;2.7;13.31;13.31;835.49;823.59;187819.92;46;139;545.87;545.87;20;30;50;1.2;121.53;109.19;103.02;90.68;90.42;84;0
39;99.37;99.05;98.89;98.57;93.97;89.21;97;15.21;15.21;8.8;21.6;76.65;50.8;93.3;2353.12;304.8;0.56;1.6;13.25;13.25;850.7;838.8;190173.05;46;140.6;559.12;559.12;20;30;50;1.2;106.27;104.41;103.47;101.61;93.87;85.21;0
40;90.96;92.94;93.93;95.91;93.2;91.48;98;21.57;21.57;15.6;28.6;62.44;39.5;85.8;3545.18;427.1;0.76;2.6;13.19;13.19;872.27;860.37;193718.22;46;143.2;572.31;572.31;20;30;50;1.2;99.37;99.05;98.89;98.57;93.97;89.21;0
41;79.12;84.18;86.71;91.77;90.95;92.65;99;17.91;17.91;13.9;23.2;71.94;50.9;95.9;3714.1;441.8;1.39;2.5;13.13;13.13;890.18;878.28;197432.33;46;145.7;585.44;585.44;20;30;50;1.2;90.96;92.94;93.93;95.91;93.2;91.48;0
42;66.34;75.2;79.62;88.48;88.31;92.57;100;14.85;14.85;8.7;21.1;64.62;37.7;91;3928.95;455.55;0.8;2.2;13.07;13.07;905.03;893.14;201361.28;46;147.9;598.51;598.51;20;30;50;1.2;79.12;84.18;86.71;91.77;90.95;92.65;0
43;57.15;69.01;74.95;86.81;86.31;91.73;101;15.89;15.89;8.4;24.1;62.14;35.3;91.6;5655.45;604.98;0.81;2.9;13.01;13.01;920.92;909.03;207016.72;46;150.8;611.52;611.52;20;30;50;1.2;66.34;75.2;79.62;88.48;88.31;92.57;0
