"tage_seit_aussaat";"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"wetter_id";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"par_Wh_m2";"windgeschwindigkeit_m_s";"FAO56_mm";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"FAO56_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"wasser_input_Vortag"
35;89.55;93.97;96.19;100.61;100.39;102.39;202;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;906.9;1.7;5.4;15.71;15.71;710.77;705.25;178968.15;104.5;125.2;562.84;562.84;20;30;50;1.2;106.11;107.69;108.48;110.06;104.38;99.5;0
36;71.71;79.61;83.57;91.47;95.98;104.44;203;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;783.82;1.63;4.6;15.67;15.67;732;726.48;185634.12;104.5;129.8;578.51;578.51;20;30;50;1.2;89.55;93.97;96.19;100.61;100.39;102.39;0
37;58.61;69.13;74.38;84.9;92.65;105.67;204;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;790.78;0.93;4.4;15.63;15.63;751.25;745.73;192666.4;104.5;134.2;594.14;594.14;20;30;50;1.2;71.71;79.61;83.57;91.47;95.98;104.44;0
38;105.67;104.85;104.43;103.61;101.14;98.26;205;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;880.42;1.05;4.7;15.59;15.59;770.66;765.14;200338.4;104.5;138.9;609.73;609.73;20;30;50;1.2;58.61;69.13;74.38;84.9;92.65;105.67;29.6
39;102.17;100.97;100.38;99.18;99.8;99.82;206;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;792;0.9;4.4;15.55;15.55;790.7;785.18;207285.33;104.5;143.3;625.28;625.28;20;30;50;1.2;105.67;104.85;104.43;103.61;101.14;98.26;0
40;88.83;88.19;87.86;87.22;95.06;102.58;207;20.99;20.99;12.5;28.2;65.23;40.6;94.3;7572.23;849.65;0.91;4.8;15.51;15.51;811.69;806.17;214857.55;104.5;148.1;640.79;640.79;20;30;50;1.2;102.17;100.97;100.38;99.18;99.8;99.82;0
41;79.49;81.35;82.29;84.15;92.87;102.53;208;19.36;19.36;14.2;24.1;80.17;62.6;94.4;3775.52;460.02;0.75;2.6;15.47;15.47;831.05;825.52;218633.08;110.5;150.7;656.26;656.26;20;30;50;1.2;88.83;88.19;87.86;87.22;95.06;102.58;0
42;121.4;122.12;122.47;123.19;118.38;113.94;209;20.69;20.69;15.4;28.6;78.72;43.7;96.2;6581.35;778.9;0.75;4.2;15.43;15.43;851.74;846.22;225214.42;114.2;154.9;671.69;671.69;20;30;50;1.2;79.49;81.35;82.29;84.15;92.87;102.53;36.46
43;113.54;114.22;114.55;115.23;109.94;105;210;21.11;21.11;14.7;27.6;73.62;46.7;96.7;6709.98;791.38;0.91;4.3;15.38;15.38;872.85;867.33;231924.4;114.5;159.2;687.07;687.07;20;30;50;1.2;121.4;122.12;122.47;123.19;118.38;113.94;3.7
44;105.59;105.03;104.75;104.19;104.24;104.02;211;19.34;19.34;14.7;25.7;78.37;54.9;94.2;4332.38;537.95;0.88;3;15.34;15.34;892.19;886.67;236256.78;115.9;162.2;702.41;702.41;20;30;50;1.2;113.54;114.22;114.55;115.23;109.94;105;0.3
45;102.32;101.76;101.47;100.91;102.21;103.23;212;19.11;19.11;13.4;25.2;77.19;54;95.9;4403.48;537.8;1.14;3;15.3;15.3;911.3;905.78;240660.25;116;165.2;717.71;717.71;20;30;50;1.2;105.59;105.03;104.75;104.19;104.24;104.02;1.4
2;85.65;81.19;78.96;74.5;80.82;84.92;169;22.74;22.74;12.2;30.9;61.41;38;92.5;7198.75;842.5;0.88;5;16.2;16.2;42.88;42.88;15705.27;0;10.3;32.39;32.39;20;30;50;1.2;102.32;101.76;101.47;100.91;102.21;103.23;0.1
3;97.4;87.08;81.92;71.6;80.75;84.73;170;24.49;24.49;16.1;32.8;62.07;36.4;91.2;7875.6;917.88;1.01;5.7;16.21;16.21;67.37;67.37;23580.88;0;16;48.6;48.6;20;30;50;1.2;85.65;81.19;78.96;74.5;80.82;84.92;11.07
4;97.27;87.67;82.88;73.28;81.52;84.96;171;25.98;25;15.8;33.7;61.75;41.2;88.5;7664.95;889.55;0.94;5.6;16.22;16.22;93.35;92.37;31245.82;0;21.6;64.82;64.82;20;30;50;1.2;97.4;87.08;81.92;71.6;80.75;84.73;0
5;119.22;99.28;89.31;69.37;82.24;85.14;172;27.32;25;18.1;34.2;60.77;40.7;91.2;6581.27;758.22;0.78;5.1;16.22;16.22;120.67;117.37;37827.1;0;26.7;81.04;81.04;20;30;50;1.2;97.27;87.67;82.88;73.28;81.52;84.96;11.12
6;106.13;93.41;87.06;74.34;82.87;85.03;173;26.93;25;18.4;33;58.75;40.4;87.5;7668.85;906.25;0.99;5.7;16.23;16.23;147.6;142.37;45495.95;0;32.4;97.27;97.27;20;30;50;1.2;119.22;99.28;89.31;69.37;82.24;85.14;0
7;111.63;96.53;88.98;73.88;83.24;85.06;174;25.29;25;19.5;29.2;62.1;45.5;90.4;6055.88;734.58;1.39;4.8;16.23;16.23;172.89;167.37;51551.82;2.8;37.2;113.5;113.5;20;30;50;1.2;106.13;93.41;87.06;74.34;82.87;85.03;11.14
8;116.51;99.59;91.12;74.2;83.71;84.75;175;21.07;21.07;17.2;26.5;71.88;51;92.8;5861;701.48;2.11;4.3;16.23;16.23;193.96;188.44;57412.82;2.9;41.5;129.73;129.73;20;30;50;1.2;111.63;96.53;88.98;73.88;83.24;85.06;2.8
9;132.05;111.33;100.97;80.25;86.38;82.14;176;16.67;16.67;13.8;18.8;83.7;71.7;90.6;2196;300.98;1.23;1.8;16.23;16.23;210.63;205.11;59608.82;7;43.3;145.96;145.96;20;30;50;1.2;116.51;99.59;91.12;74.2;83.71;84.75;0.1
10;118.01;112.39;109.58;103.96;92.02;77.26;177;20.05;20.05;15.2;25.8;73.68;54.1;90.7;6233.75;758.6;1.54;4.2;16.23;16.23;230.68;225.15;65842.57;7.2;47.5;162.19;162.19;20;30;50;1.2;132.05;111.33;100.97;80.25;86.38;82.14;15.19
11;122.75;117.21;114.43;108.89;95.13;78.59;178;17.58;17.58;16;19.1;87.44;80;93.2;1631.1;233.65;0.83;1.4;16.22;16.22;248.26;242.74;67473.68;23.3;48.9;178.41;178.41;20;30;50;1.2;118.01;112.39;109.58;103.96;92.02;77.26;0.2
12;114.41;118.31;120.25;124.15;112.81;103.41;179;18.54;18.54;13.5;23.5;74.13;51.8;90.8;4385.75;538.55;0.97;3;16.22;16.22;266.8;261.28;71859.43;24.1;51.9;194.63;194.63;20;30;50;1.2;122.75;117.21;114.43;108.89;95.13;78.59;16.1
13;106.37;109.95;111.73;115.31;111.73;109.93;180;19.89;19.89;12.4;26.6;66.99;42.4;94;7765.15;910.28;0.73;4.8;16.21;16.21;286.7;281.18;79624.57;24.1;56.7;210.84;210.84;20;30;50;1.2;114.41;118.31;120.25;124.15;112.81;103.41;0.8
14;102.61;106.57;108.56;112.52;110.02;109.5;181;21.91;21.91;14.9;27.7;68.77;47.8;92.4;5073.55;620.98;1;3.7;16.2;16.2;308.61;303.08;84698.12;24.1;60.4;227.04;227.04;20;30;50;1.2;106.37;109.95;111.73;115.31;111.73;109.93;0
15;100.6;104.56;106.54;110.5;108.61;108.69;182;23.21;23.21;16.3;29.8;68.74;41.8;92.6;6556.92;781.12;0.89;4.6;16.19;16.19;331.82;326.29;91255.05;24.1;65;243.23;243.23;20;30;50;1.2;102.61;106.57;108.56;112.52;110.02;109.5;0
16;101.62;104.12;105.38;107.88;107.1;107.58;183;19.47;19.47;14;26.4;80.89;53.8;95.3;4230.18;524.12;0.9;3;16.18;16.18;351.29;345.77;95485.23;33.7;68;259.41;259.41;20;30;50;1.2;100.6;104.56;106.54;110.5;108.61;108.69;0
17;113.31;109.91;108.2;104.8;106.25;106.01;184;16.28;16.28;13.2;20.3;83.93;64.1;95;2647;352.42;1.01;1.9;16.17;16.17;367.57;362.05;98132.23;36.6;69.9;275.58;275.58;20;30;50;1.2;101.62;104.12;105.38;107.88;107.1;107.58;9.6
18;114.77;111.01;109.13;105.37;106.3;105.36;185;16.37;16.37;14.5;19.1;75.3;59.3;92.7;2604.88;349;1.14;2.1;16.15;16.15;383.94;378.42;100737.1;36.7;72;291.73;291.73;20;30;50;1.2;113.31;109.91;108.2;104.8;106.25;106.01;2.9
19;106.2;106.56;106.73;107.09;106.04;105.18;186;18.78;18.78;11.9;25.2;68.03;45.3;92.5;6306.88;739.15;0.99;4;16.14;16.14;402.72;397.2;107043.98;36.7;76;307.87;307.87;20;30;50;1.2;114.77;111.01;109.13;105.37;106.3;105.36;0.1
20;102.41;104.15;105.02;106.76;105.55;105.21;187;20.86;20.86;12.2;28.2;66.11;40.6;94.2;7238.3;857.95;0.67;4.7;16.12;16.12;423.58;418.06;114282.27;36.7;80.7;323.99;323.99;20;30;50;1.2;106.2;106.56;106.73;107.09;106.04;105.18;0
21;123.4;118.88;116.62;112.1;112.73;111.11;188;19.16;19.16;14.8;24.7;80.56;57.4;94.8;3916.07;480.15;0.62;2.7;16.1;16.1;442.74;437.22;118198.35;59;83.4;340.09;340.09;20;30;50;1.2;102.41;104.15;105.02;106.76;105.55;105.21;10.11
22;115.05;119.09;121.12;125.16;120.64;118.14;189;18.22;18.22;14.1;22.5;86.9;73.3;95.2;3315.18;431.7;0.65;2.3;16.08;16.08;460.96;455.44;121513.52;62.9;85.7;356.17;356.17;20;30;50;1.2;123.4;118.88;116.62;112.1;112.73;111.11;22.3
23;117.85;121.67;123.57;127.39;121.57;117.65;190;17.86;17.86;14.7;20.9;85.17;66;96.8;2211.55;300.15;0.84;1.8;16.06;16.06;478.82;473.3;123725.07;69.8;87.5;372.23;372.23;20;30;50;1.2;115.05;119.09;121.12;125.16;120.64;118.14;3.9
24;111.13;114.77;116.6;120.24;117.93;117.43;191;19.32;19.32;14;25.4;72.38;47;93.4;6424.4;771.28;0.87;4.1;16.04;16.04;498.14;492.62;130149.48;69.8;91.6;388.27;388.27;20;30;50;1.2;117.85;121.67;123.57;127.39;121.57;117.65;6.9
25;105.28;108.76;110.49;113.97;113.22;114.22;192;18.09;18.09;13.6;22.9;79.84;66.7;94;3566.22;461.2;1.03;2.5;16.01;16.01;516.23;510.71;133715.7;70;94.1;404.28;404.28;20;30;50;1.2;111.13;114.77;116.6;120.24;117.93;117.43;0
26;101.07;105.29;107.39;111.61;111.11;112.71;193;18.83;18.83;14.2;22.8;77.21;63.1;90.5;3675.15;462.1;1.08;2.7;15.99;15.99;535.06;529.54;137390.85;71.1;96.8;420.27;420.27;20;30;50;1.2;105.28;108.76;110.49;113.97;113.22;114.22;0.2
27;96.22;101.7;104.44;109.92;109.18;111.18;194;19.42;19.42;12.3;26.1;74.85;47.5;95.9;6242.45;740.42;0.89;4;15.96;15.96;554.49;548.97;143633.3;78.6;100.8;436.23;436.23;20;30;50;1.2;101.07;105.29;107.39;111.61;111.11;112.71;1.1
28;93.47;99.33;102.25;108.11;107.93;110.67;195;19.05;19.05;15;24.7;78.22;52.8;95.3;4810.6;590.48;0.66;3.2;15.94;15.94;573.54;568.02;148443.9;78.7;104;452.17;452.17;20;30;50;1.2;96.22;101.7;104.44;109.92;109.18;111.18;7.5
29;88.11;96.15;100.17;108.21;106.87;109.55;196;20.16;20.16;13.2;26.2;75.66;54.4;96.2;4545.45;558.2;0.87;3.2;15.91;15.91;593.7;588.18;152989.35;79.4;107.2;468.08;468.08;20;30;50;1.2;93.47;99.33;102.25;108.11;107.93;110.67;0.1
30;97.5;100.2;101.54;104.24;105.51;108.13;197;18.66;18.66;16.2;21.2;92.1;85;96.2;1363.9;201.95;0.85;1.2;15.88;15.88;612.36;606.84;154353.25;94;108.4;483.96;483.96;20;30;50;1.2;88.11;96.15;100.17;108.21;106.87;109.55;0.7
31;128;117.98;112.96;102.94;106.72;105.48;198;16.83;16.83;15.1;18.4;90.05;82;94.9;952.8;146.05;0.9;1.1;15.84;15.84;629.19;623.67;155306.05;97.9;109.5;499.8;499.8;20;30;50;1.2;97.5;100.2;101.54;104.24;105.51;108.13;14.6
32;121.65;119.83;118.93;117.11;111.49;104.95;199;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;613.92;0.79;3.3;15.81;15.81;648.64;643.12;160275.83;99.3;112.8;515.61;515.61;20;30;50;1.2;128;117.98;112.96;102.94;106.72;105.48;3.9
33;117.33;115.59;114.71;112.97;111.65;109.45;200;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;648.45;2.27;3.3;15.78;15.78;667.82;662.3;165584.45;104.5;116.1;531.39;531.39;20;30;50;1.2;121.65;119.83;118.93;117.11;111.49;104.95;1.4
34;107.76;109.04;109.69;110.97;110.23;110.13;201;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;667.3;1.74;3.7;15.74;15.74;688.25;682.73;171114.7;104.5;119.8;547.13;547.13;20;30;50;1.2;117.33;115.59;114.71;112.97;111.65;109.45;5.2
35;96;100.94;103.42;108.36;107.94;109.98;202;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;906.9;1.7;5.4;15.71;15.71;710.77;705.25;178968.15;104.5;125.2;562.84;562.84;20;30;50;1.2;107.76;109.04;109.69;110.97;110.23;110.13;0
36;81.35;91.33;96.33;106.31;105.2;109.08;203;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;783.82;1.63;4.6;15.67;15.67;732;726.48;185634.12;104.5;129.8;578.51;578.51;20;30;50;1.2;96;100.94;103.42;108.36;107.94;109.98;0
37;69.27;83.51;90.64;104.88;102.72;107.68;204;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;790.78;0.93;4.4;15.63;15.63;751.25;745.73;192666.4;104.5;134.2;594.14;594.14;20;30;50;1.2;81.35;91.33;96.33;106.31;105.2;109.08;0
38;116.38;111.26;108.69;103.57;104.93;103.73;205;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;880.42;1.05;4.7;15.59;15.59;770.66;765.14;200338.4;104.5;138.9;609.73;609.73;20;30;50;1.2;69.27;83.51;90.64;104.88;102.72;107.68;29.28
39;108.68;105.3;103.62;100.24;103.21;104.49;206;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;792;0.9;4.4;15.55;15.55;790.7;785.18;207285.33;104.5;143.3;625.28;625.28;20;30;50;1.2;116.38;111.26;108.69;103.57;104.93;103.73;0
40;98.34;97.38;96.9;95.94;100.65;104.87;207;20.99;20.99;12.5;28.2;65.23;40.6;94.3;7572.23;849.65;0.91;4.8;15.51;15.51;811.69;806.17;214857.55;104.5;148.1;640.79;640.79;20;30;50;1.2;108.68;105.3;103.62;100.24;103.21;104.49;0
41;88.99;90.69;91.53;93.23;98.63;104.87;208;19.36;19.36;14.2;24.1;80.17;62.6;94.4;3775.52;460.02;0.75;2.6;15.47;15.47;831.05;825.52;218633.08;110.5;150.7;656.26;656.26;20;30;50;1.2;98.34;97.38;96.9;95.94;100.65;104.87;0
42;123.49;123.41;123.36;123.28;121.97;120.63;209;20.69;20.69;15.4;28.6;78.72;43.7;96.2;6581.35;778.9;0.75;4.2;15.43;15.43;851.74;846.22;225214.42;114.2;154.9;671.69;671.69;20;30;50;1.2;88.99;90.69;91.53;93.23;98.63;104.87;36.3
43;115.87;114.65;114.05;112.83;114.5;115.56;210;21.11;21.11;14.7;27.6;73.62;46.7;96.7;6709.98;791.38;0.91;4.3;15.38;15.38;872.85;867.33;231924.4;114.5;159.2;687.07;687.07;20;30;50;1.2;123.49;123.41;123.36;123.28;121.97;120.63;3.7
44;107.15;106.53;106.21;105.59;109.41;112.93;211;19.34;19.34;14.7;25.7;78.37;54.9;94.2;4332.38;537.95;0.88;3;15.34;15.34;892.19;886.67;236256.78;115.9;162.2;702.41;702.41;20;30;50;1.2;115.87;114.65;114.05;112.83;114.5;115.56;0.3
45;103.36;103.38;103.39;103.41;107.26;111.12;212;19.11;19.11;13.4;25.2;77.19;54;95.9;4403.48;537.8;1.14;3;15.3;15.3;911.3;905.78;240660.25;116;165.2;717.71;717.71;20;30;50;1.2;107.15;106.53;106.21;105.59;109.41;112.93;1.4
2;74.84;75.96;76.51;77.63;78.12;79.18;169;22.74;22.74;12.2;30.9;61.41;38;92.5;7198.75;842.5;0.88;5;16.2;16.2;42.88;42.88;15705.27;0;10.3;32.39;32.39;20;30;50;1.2;103.36;103.38;103.39;103.41;107.26;111.12;0.1
3;84.98;80.94;78.92;74.88;77.81;78.71;170;24.49;24.49;16.1;32.8;62.07;36.4;91.2;7875.6;917.88;1.01;5.7;16.21;16.21;67.37;67.37;23580.88;0;16;48.6;48.6;20;30;50;1.2;74.84;75.96;76.51;77.63;78.12;79.18;10.67
4;87.25;82.31;79.83;74.89;78.03;78.71;171;25.98;25;15.8;33.7;61.75;41.2;88.5;7664.95;889.55;0.94;5.6;16.22;16.22;93.35;92.37;31245.82;0;21.6;64.82;64.82;20;30;50;1.2;84.98;80.94;78.92;74.88;77.81;78.71;0
5;104.42;91.04;84.36;70.98;78.23;78.79;172;27.32;25;18.1;34.2;60.77;40.7;91.2;6581.27;758.22;0.78;5.1;16.22;16.22;120.67;117.37;37827.1;0;26.7;81.04;81.04;20;30;50;1.2;87.25;82.31;79.83;74.89;78.03;78.71;10.86
6;98.43;88.25;83.16;72.98;78.38;78.68;173;26.93;25;18.4;33;58.75;40.4;87.5;7668.85;906.25;0.99;5.7;16.23;16.23;147.6;142.37;45495.95;0;32.4;97.27;97.27;20;30;50;1.2;104.42;91.04;84.36;70.98;78.23;78.79;0
7;101.84;90;84.09;72.25;78.38;78.6;174;25.29;25;19.5;29.2;62.1;45.5;90.4;6055.88;734.58;1.39;4.8;16.23;16.23;172.89;167.37;51551.82;2.8;37.2;113.5;113.5;20;30;50;1.2;98.43;88.25;83.16;72.98;78.38;78.68;10.97
8;107.59;93.11;85.87;71.39;78.46;78.28;175;21.07;21.07;17.2;26.5;71.88;51;92.8;5861;701.48;2.11;4.3;16.23;16.23;193.96;188.44;57412.82;2.9;41.5;129.73;129.73;20;30;50;1.2;101.84;90;84.09;72.25;78.38;78.6;2.8
9;130.35;105.03;92.37;67.05;78.72;77.74;176;16.67;16.67;13.8;18.8;83.7;71.7;90.6;2196;300.98;1.23;1.8;16.23;16.23;210.63;205.11;59608.82;7;43.3;145.96;145.96;20;30;50;1.2;107.59;93.11;85.87;71.39;78.46;78.28;0.1
10;124.89;104.29;94;73.4;80.08;76.46;177;20.05;20.05;15.2;25.8;73.68;54.1;90.7;6233.75;758.6;1.54;4.2;16.23;16.23;230.68;225.15;65842.57;7.2;47.5;162.19;162.19;20;30;50;1.2;130.35;105.03;92.37;67.05;78.72;77.74;14.94
11;126.65;109.13;100.38;82.86;82.73;73.83;178;17.58;17.58;16;19.1;87.44;80;93.2;1631.1;233.65;0.83;1.4;16.22;16.22;248.26;242.74;67473.68;23.3;48.9;178.41;178.41;20;30;50;1.2;124.89;104.29;94;73.4;80.08;76.46;0.2
12;116.33;118.05;118.92;120.64;93.85;67.93;179;18.54;18.54;13.5;23.5;74.13;51.8;90.8;4385.75;538.55;0.97;3;16.22;16.22;266.8;261.28;71859.43;24.1;51.9;194.63;194.63;20;30;50;1.2;126.65;109.13;100.38;82.86;82.73;73.83;16.1
13;107.36;108.88;109.64;111.16;94.23;78.07;180;19.89;19.89;12.4;26.6;66.99;42.4;94;7765.15;910.28;0.73;4.8;16.21;16.21;286.7;281.18;79624.57;24.1;56.7;210.84;210.84;20;30;50;1.2;116.33;118.05;118.92;120.64;93.85;67.93;0.8
14;102.33;104.37;105.4;107.44;95.08;83.74;181;21.91;21.91;14.9;27.7;68.77;47.8;92.4;5073.55;620.98;1;3.7;16.2;16.2;308.61;303.08;84698.12;24.1;60.4;227.04;227.04;20;30;50;1.2;107.36;108.88;109.64;111.16;94.23;78.07;0
15;99.27;101.49;102.59;104.81;95.37;87.05;182;23.21;23.21;16.3;29.8;68.74;41.8;92.6;6556.92;781.12;0.89;4.6;16.19;16.19;331.82;326.29;91255.05;24.1;65;243.23;243.23;20;30;50;1.2;102.33;104.37;105.4;107.44;95.08;83.74;0
16;97.94;99.7;100.57;102.33;95.05;88.65;183;19.47;19.47;14;26.4;80.89;53.8;95.3;4230.18;524.12;0.9;3;16.18;16.18;351.29;345.77;95485.23;33.7;68;259.41;259.41;20;30;50;1.2;99.27;101.49;102.59;104.81;95.37;87.05;0
17;109.4;105.2;103.1;98.9;95.08;89.16;184;16.28;16.28;13.2;20.3;83.93;64.1;95;2647;352.42;1.01;1.9;16.17;16.17;367.57;362.05;98132.23;36.6;69.9;275.58;275.58;20;30;50;1.2;97.94;99.7;100.57;102.33;95.05;88.65;9.6
18;113.84;107.36;104.11;97.63;95.23;89.59;185;16.37;16.37;14.5;19.1;75.3;59.3;92.7;2604.88;349;1.14;2.1;16.15;16.15;383.94;378.42;100737.1;36.7;72;291.73;291.73;20;30;50;1.2;109.4;105.2;103.1;98.9;95.08;89.16;2.9
19;105.19;102.81;101.61;99.23;95.3;90.18;186;18.78;18.78;11.9;25.2;68.03;45.3;92.5;6306.88;739.15;0.99;4;16.14;16.14;402.72;397.2;107043.98;36.7;76;307.87;307.87;20;30;50;1.2;113.84;107.36;104.11;97.63;95.23;89.59;0.1
20;99.43;99.55;99.61;99.73;95.17;90.67;187;20.86;20.86;12.2;28.2;66.11;40.6;94.2;7238.3;857.95;0.67;4.7;16.12;16.12;423.58;418.06;114282.27;36.7;80.7;323.99;323.99;20;30;50;1.2;105.19;102.81;101.61;99.23;95.3;90.18;0
21;115.17;111.07;109.01;104.91;101.08;95.2;188;19.16;19.16;14.8;24.7;80.56;57.4;94.8;3916.07;480.15;0.62;2.7;16.1;16.1;442.74;437.22;118198.35;59;83.4;340.09;340.09;20;30;50;1.2;99.43;99.55;99.61;99.73;95.17;90.67;9.92
22;118.26;121.54;123.18;126.46;122.04;119.26;189;18.22;18.22;14.1;22.5;86.9;73.3;95.2;3315.18;431.7;0.65;2.3;16.08;16.08;460.96;455.44;121513.52;62.9;85.7;356.17;356.17;20;30;50;1.2;115.17;111.07;109.01;104.91;101.08;95.2;22.3
23;120.01;123.29;124.93;128.21;123.15;119.73;190;17.86;17.86;14.7;20.9;85.17;66;96.8;2211.55;300.15;0.84;1.8;16.06;16.06;478.82;473.3;123725.07;69.8;87.5;372.23;372.23;20;30;50;1.2;118.26;121.54;123.18;126.46;122.04;119.26;3.9
24;111.68;115.44;117.31;121.07;118.69;118.19;191;19.32;19.32;14;25.4;72.38;47;93.4;6424.4;771.28;0.87;4.1;16.04;16.04;498.14;492.62;130149.48;69.8;91.6;388.27;388.27;20;30;50;1.2;120.01;123.29;124.93;128.21;123.15;119.73;6.9
25;103.98;108.1;110.17;114.29;112.79;113.35;192;18.09;18.09;13.6;22.9;79.84;66.7;94;3566.22;461.2;1.03;2.5;16.01;16.01;516.23;510.71;133715.7;70;94.1;404.28;404.28;20;30;50;1.2;111.68;115.44;117.31;121.07;118.69;118.19;0
26;98.78;103.86;106.4;111.48;109.69;110.43;193;18.83;18.83;14.2;22.8;77.21;63.1;90.5;3675.15;462.1;1.08;2.7;15.99;15.99;535.06;529.54;137390.85;71.1;96.8;420.27;420.27;20;30;50;1.2;103.98;108.1;110.17;114.29;112.79;113.35;0.2
27;92.79;99.69;103.14;110.04;107.3;108.02;194;19.42;19.42;12.3;26.1;74.85;47.5;95.9;6242.45;740.42;0.89;4;15.96;15.96;554.49;548.97;143633.3;78.6;100.8;436.23;436.23;20;30;50;1.2;98.78;103.86;106.4;111.48;109.69;110.43;1.1
28;92.5;98.36;101.3;107.16;105.46;106.68;195;19.05;19.05;15;24.7;78.22;52.8;95.3;4810.6;590.48;0.66;3.2;15.94;15.94;573.54;568.02;148443.9;78.7;104;452.17;452.17;20;30;50;1.2;92.79;99.69;103.14;110.04;107.3;108.02;7.5
29;86.8;94.74;98.72;106.66;104.19;105.69;196;20.16;20.16;13.2;26.2;75.66;54.4;96.2;4545.45;558.2;0.87;3.2;15.91;15.91;593.7;588.18;152989.35;79.4;107.2;468.08;468.08;20;30;50;1.2;92.5;98.36;101.3;107.16;105.46;106.68;0.1
30;96.93;98.81;99.75;101.63;102.66;104.64;197;18.66;18.66;16.2;21.2;92.1;85;96.2;1363.9;201.95;0.85;1.2;15.88;15.88;612.36;606.84;154353.25;94;108.4;483.96;483.96;20;30;50;1.2;86.8;94.74;98.72;106.66;104.19;105.69;0.7
31;132.38;117.42;109.93;94.97;102.5;102.54;198;16.83;16.83;15.1;18.4;90.05;82;94.9;952.8;146.05;0.9;1.1;15.84;15.84;629.19;623.67;155306.05;97.9;109.5;499.8;499.8;20;30;50;1.2;96.93;98.81;99.75;101.63;102.66;104.64;14.6
32;124.88;118.8;115.75;109.67;106.53;100.35;199;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;613.92;0.79;3.3;15.81;15.81;648.64;643.12;160275.83;99.3;112.8;515.61;515.61;20;30;50;1.2;132.38;117.42;109.93;94.97;102.5;102.54;3.9
33;118.89;115.31;113.52;109.94;107.98;104.22;200;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;648.45;2.27;3.3;15.78;15.78;667.82;662.3;165584.45;104.5;116.1;531.39;531.39;20;30;50;1.2;124.88;118.8;115.75;109.67;106.53;100.35;1.4
34;107.35;107.83;108.08;108.56;106.77;105.21;201;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;667.3;1.74;3.7;15.74;15.74;688.25;682.73;171114.7;104.5;119.8;547.13;547.13;20;30;50;1.2;118.89;115.31;113.52;109.94;107.98;104.22;5.2
35;93.22;97.94;100.29;105.01;103.71;104.77;202;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;906.9;1.7;5.4;15.71;15.71;710.77;705.25;178968.15;104.5;125.2;562.84;562.84;20;30;50;1.2;107.35;107.83;108.08;108.56;106.77;105.21;0
36;76.16;86.34;91.44;101.62;100.18;103.84;203;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;783.82;1.63;4.6;15.67;15.67;732;726.48;185634.12;104.5;129.8;578.51;578.51;20;30;50;1.2;93.22;97.94;100.29;105.01;103.71;104.77;0
37;61.95;76.71;84.08;98.84;97.09;102.71;204;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;790.78;0.93;4.4;15.63;15.63;751.25;745.73;192666.4;104.5;134.2;594.14;594.14;20;30;50;1.2;76.16;86.34;91.44;101.62;100.18;103.84;0
38;125.11;111.99;105.44;92.32;98.45;98.03;205;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;880.42;1.05;4.7;15.59;15.59;770.66;765.14;200338.4;104.5;138.9;609.73;609.73;20;30;50;1.2;61.95;76.71;84.08;98.84;97.09;102.71;28.99
39;108.73;101.73;98.24;91.24;96.69;98.65;206;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;792;0.9;4.4;15.55;15.55;790.7;785.18;207285.33;104.5;143.3;625.28;625.28;20;30;50;1.2;125.11;111.99;105.44;92.32;98.45;98.03;0
