"Datum";"Tmax";"Tmin";"Tmean";"RF";"Glob";"P";"RHmin";"V2";"FAO56";"Tage_seit_Aussaat";"bewaesserung_mm";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_mm";"T2040_mm";"T4060_mm";"freier_Speicher_T0020_mm";"freier_Speicher_T2040_mm";"freier_Speicher_T4060_mm";"T0060_mm";"wasserinput_mm";"freier_Speicher_T0060_mm";"wasserinput_vortag";"wasserinput_vortag_cumsum";"T0060_mm_ohne_input";"freier_Speicher_T0060_mm_ohne_input";"wasser_diff";"T0060_mm_ohne_input_smooth";"kumulierter_Wasserverbrauch";"tempsum";"kumulierter_Wasserverbrauch_smooth";"taeglicher_wasserverbrauch";"kumulierter_Wasserverbrauch_sigmoid_tempsum";"kumulierter_Wasserverbrauch_sigmoid_tage";"tempsum_diff";"taeglicher_wasserverbrauch_sigmoid_tempsum";"taeglicher_wasserverbrauch_sigmoid";"taeglicher_wasserverbrauch_smooth"
2021-04-27;17.6;2.7;10.81875;40.6145833333333;25.96968;0;25.4;1.52395833333333;3.7;22;0;94.06;95.77;94.66;30.9143866666667;29.4333133333333;30.10188;1.95228;1.30002;1.69812;90.44958;0;4.95042;5.415;18.82875;71.62083;23.77917;-5.55492;72.9099553333333;19.1646633333333;118.211458333333;18.2694062666667;2.29975226666667;17.3257898231424;16.3896566411701;10.81875;0.139577859365825;1.46000851214594;2.10393341333333
2021-04-28;21.9;1.9;11.8333333333333;58.8145833333333;21.80997;6.7;29.1;1.09166666666667;3.3;23;0;94.62;95.67;94.54;31.09844;29.40258;30.06372;1.76822666666667;1.33075333333333;1.73628;90.56474;6.7;4.83526;0;18.82875;71.73599;23.66401;0.115160000000003;70.2097806666667;19.0495033333333;130.044791666666;20.52637;2.25696373333333;19.1140887156267;17.9716742693948;11.8333333333333;0.151123850069101;1.58201762822469;2.15890448
2021-04-29;17.2;5.6;11.4177083333333;70.190625;18.29385;3.9;35.9;2.196875;2.8;24;0;99.91;95.54;94.41;32.8370866666667;29.3626266666667;30.02238;0.0295800000000028;1.37070666666667;1.77762;92.2220933333333;3.9;3.17790666666667;6.7;25.52875;66.6933433333333;28.7066566666667;-5.0426466666667;67.4585486666667;24.09215;141.4625;22.7735492;2.2471792;20.9803125092056;19.6817793018406;11.4177083333333;0.163449944515619;1.71010503244589;2.14256442666667
2021-04-30;12;0.8;7.62083333333333;68.8895833333333;12.17583;0;51.8;0.89375;1.8;25;0;102.87;95.88;94.26;33.80994;29.46712;29.97468;-0.943273333333337;1.26621333333333;1.82532;93.25174;0;2.14825999999999;3.9;29.42875;63.82299;31.57701;-2.87035333333331;65.7011846666667;26.9625033333333;149.083333333333;24.8194534666667;2.04590426666666;22.3051137832473;21.5255433088339;7.62083333333334;0.173839423603074;1.84376400699327;2.02651829333333
2021-05-01;14.8;2.8;10.0177083333333;61.0729166666667;14.52123;0;37.9;1.440625;2.4;26;0;100.97;96.62;94.24;33.1854733333333;29.6945466666667;29.96832;-0.318806666666667;1.03878666666666;1.83168;92.84834;0;2.55165999999999;0;29.42875;63.41959;31.98041;-0.403400000000005;63.7802513333333;27.3659033333333;159.101041666666;26.6824761333333;1.86302266666667;24.1450123465909;23.5078500162247;10.0177083333333;0.183664616908584;1.98230670739083;1.95204432
2021-05-02;13.4;3.3;9.26770833333333;55.5989583333333;20.1861;0;37.7;2.7;3.1;27;0;99.08;96.86;94.12;32.5642933333333;29.7683066666667;29.93016;0.302373333333335;0.965026666666667;1.86984;92.26276;0;3.13724;0;29.42875;62.83401;32.56599;-0.585579999999993;62.680434;27.9514833333333;168.36875;28.4019977333333;1.7195216;25.9479782768632;25.6326987917261;9.26770833333333;0.194542800164256;2.12484877550138;1.90214848
2021-05-03;14.7;-0.2;8.33958333333333;60.9697916666667;17.03637;0;37.2;1.10104166666667;2.4;28;0;97.14;96.7;94.07;31.92668;29.7191333333333;29.91426;0.939986666666666;1.0142;1.88574;91.5600733333333;0;3.83992666666667;0;29.42875;62.1313233333333;33.2686766666667;-0.702686666666693;60.8946673333333;28.65417;176.708333333333;30.2865916;1.88459386666667;27.6537197394193;27.9029971480003;8.33958333333331;0.204535573826366;2.27029835627416;1.95183552
2021-05-04;14;4.8;9.79166666666667;67.7291666666667;7.89588;0.1;47.4;2.93541666666667;2;29;5.4725;94.72;96.27;94.04;31.1313066666667;29.58698;29.90472;1.73536;1.14635333333333;1.89528;90.6230066666667;5.5725;4.77699333333333;0;29.42875;61.1942566666667;34.2057433333333;-0.93706666666661;58.8609406666667;29.5912366666667;186.5;32.2842916;1.99769999999999;29.7570470730026;30.3203483524869;9.79166666666669;0.214807897897863;2.41735120448665;2.04167210666667
2021-05-05;12.2;3.4;7.30625;72.1885416666667;14.93955;1.6;45.5;2.22916666666667;2.2;30;0;93.54;95.33;93.88;30.74348;29.2980866666667;29.85384;2.12318666666666;1.43524666666666;1.94616;89.8954066666667;1.6;5.50459333333332;5.5725;35.00125;54.8941566666667;40.5058433333333;-6.30009999999999;56.2782153333333;35.8913366666666;193.80625;34.5786310666667;2.29433946666667;31.396623424317;32.8848419544487;7.30625000000001;0.224407370581954;2.56449360196177;2.19740581333333
2021-05-06;11.9;2;6.85625;81.7927083333333;8.91261;3.7;57;1.10833333333333;1.4;31;0;93.87;94.94;93.78;30.85194;29.1782266666667;29.82204;2.01472666666666;1.55510666666667;1.97796;89.8522066666667;3.7;5.54779333333333;1.6;36.60125;53.2509566666667;42.1490433333333;-1.6432;53.7917513333333;37.5345366666667;200.6625;36.8908366666667;2.3122056;32.9888807990543;35.5948566489958;6.85624999999999;0.232234439341813;2.71001469454706;2.31715061333333
2021-05-07;13.3;3.8;8.34791666666667;65.7395833333333;21.07854;0;39.4;1.96458333333333;2.8;32;0;95.42;94.65;93.62;31.3613733333333;29.0891;29.77116;1.50529333333333;1.64423333333333;2.02884;90.2216333333333;0;5.17836666666666;3.7;40.30125;49.9203833333333;45.4796166666667;-3.3305733333334;51.2087366666667;40.86511;209.010416666666;39.3890268;2.49819013333334;34.9961514484856;38.4468862151635;8.34791666666666;0.240451687478669;2.85202956616775;2.4298576
2021-05-08;18.3;0.4;10.2875;62.796875;18.84204;0;42.1;1.11875;2.8;33;0;94.7;94.71;93.61;31.1247333333333;29.10754;29.76798;1.74193333333333;1.62579333333333;2.03202;90.0002533333333;0;5.39974666666666;0;40.30125;49.6990033333333;45.7009966666667;-0.221379999999996;49.3336393333333;41.08649;219.297916666666;41.8723446666666;2.48331786666666;37.5698508437755;41.4354000867681;10.2875;0.250177340975936;2.98851387160457;2.51086448
