T0020_nFK;T2040_nFK;T4060_nFK;Tmean_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;niederschlag_mm_sum;wasser_input_Vortag;T0020_nFK_Vortag;T2040_nFK_Vortag;T4060_nFK_Vortag;tage_seit_aussaat;Tmean_th9_25_gradC;ibi;irmi
110.04;105.275;100.8025;16.28;13.2;20.3;83.93;64.1;95;2647;1.01;2.9;9.6;98.245;106.7625;101.285;17;16.28;0.360051858214712;11.9821550834566
113.9925;105.255;100.365;16.37;14.5;19.1;75.3;59.3;92.7;2604.88;1.14;0.1;2.9;110.04;105.275;100.8025;18;16.37;0.452855611748179;12.4460439773287
105.635;105.86;100.1;18.78;11.9;25.2;68.03;45.3;92.5;6306.88;0.99;0;0.1;113.9925;105.255;100.365;19;18.78;0.525886268701507;12.9337396108438
100.5825;104.385;99.725;20.86;12.2;28.2;66.11;40.6;94.2;7238.3;0.67;0;0;105.635;105.86;100.1;20;20.86;0.66990268176935;13.4434045536253
96.49;103.9125;99.8375;19.16;14.8;24.7;80.56;57.4;94.8;3916.07;0.62;22.3;0;100.5825;104.385;99.725;21;19.16;0.869590817715649;13.9559326640734
119.405;127.765;105.76;18.22;14.1;22.5;86.9;73.3;95.2;3315.18;0.65;3.9;22.3;96.49;103.9125;99.8375;22;18.22;1.10862431482398;14.446899909185
117.79;125.2275;112.0375;17.86;14.7;20.9;85.17;66;96.8;2211.55;0.84;6.9;3.9;119.405;127.765;105.76;23;17.86;1.37501073439988;14.9733077309235
117.38;124.3775;119.315;19.32;14;25.4;72.38;47;93.4;6424.4;0.87;0;6.9;117.79;125.2275;112.0375;24;19.32;1.6558277909288;15.5365750292546
107.0675;114.6925;113.935;18.09;13.6;22.9;79.84;66.7;94;3566.22;1.03;0.2;0;117.38;124.3775;119.315;25;18.09;1.94071558488281;16.1072717373702
102.8325;110.655;111.18;18.83;14.2;22.8;77.21;63.1;90.5;3675.15;1.08;1.1;0.2;107.0675;114.6925;113.935;26;18.83;2.22096688891619;16.6586456050562
