"wasser_level";"zeit_messung";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"T0020_nFK";"T2040_nFK";"T4060_nFK"
"Wfull";2021-04-25;84.76;79.13;84;1.93;1.9;1.92;94.66;95.9;94.82
"Wfull";2021-04-26;86.78;78.98;84.3;1.94;1.9;1.93;94.23;95.94;94.76
"Wfull";2021-04-27;87.61;79.69;84.75;1.94;1.9;1.93;94.06;95.77;94.66
"Wfull";2021-04-28;84.96;80.14;85.32;1.93;1.9;1.93;94.62;95.67;94.54
"Wfull";2021-04-29;63.42;80.75;85.92;1.8;1.91;1.93;99.91;95.54;94.41
"Wfull";2021-04-30;53.83;79.24;86.66;1.73;1.9;1.94;102.87;95.88;94.26
"Wfull";2021-05-01;59.8;76.04;86.76;1.78;1.88;1.94;100.97;96.62;94.24
"Wfull";2021-05-02;66.4;75.04;87.32;1.82;1.88;1.94;99.08;96.86;94.12
"Wfull";2021-05-03;73.89;75.73;87.56;1.87;1.88;1.94;97.14;96.7;94.07
"Wfull";2021-05-04;84.5;77.52;87.7;1.93;1.89;1.94;94.72;96.27;94.04
"Wfull";2021-05-05;90.16;81.66;88.5;1.96;1.91;1.95;93.54;95.33;93.88
"Wfull";2021-05-06;88.56;83.43;88.99;1.95;1.92;1.95;93.87;94.94;93.78
"Wfull";2021-05-07;81.26;84.81;89.77;1.91;1.93;1.95;95.42;94.65;93.62
"Wfull";2021-05-08;84.59;84.54;89.82;1.93;1.93;1.95;94.7;94.71;93.61
"Wfull";2021-05-09;106.56;85.28;89.79;2.03;1.93;1.95;90.52;94.55;93.62
"Wfull";2021-05-10;157.46;92.04;89.96;2.2;1.96;1.95;83.45;93.17;93.58
"Wfull";2021-05-11;143.78;98.82;90.44;2.16;1.99;1.96;85.1;91.88;93.48
"Wfull";2021-05-12;85.74;100.48;91.03;1.93;2;1.96;94.45;91.58;93.37
"Wfull";2021-05-13;116.92;104;91.43;2.07;2.02;1.96;88.84;90.96;93.29
"Wfull";2021-05-14;186.36;115.9;91.94;2.27;2.06;1.96;80.4;89;93.19
"Wfull";2021-05-15;274.43;133.06;92.96;2.44;2.12;1.97;73.4;86.5;92.99
"Wfull";2021-05-16;350.74;151.07;94.24;2.54;2.18;1.97;68.96;84.2;92.74
"Wfull";2021-05-17;342.62;165.91;96;2.53;2.22;1.98;69.38;82.51;92.4
"Wfull";2021-05-18;262.29;177.27;97.23;2.42;2.25;1.99;74.22;81.31;92.17
"Wfull";2021-05-19;297.85;195.63;98.74;2.47;2.29;1.99;71.92;79.52;91.9
"Wfull";2021-05-20;405.79;220.41;100.98;2.61;2.34;2;66.32;77.37;91.49
"Wfull";2021-05-21;562.72;270.6;102.9;2.75;2.43;2.01;60.4;73.65;91.15
"Wfull";2021-05-22;696.36;329.33;106.28;2.84;2.52;2.03;56.55;70.1;90.56
"Wfull";2021-05-23;781.36;408.62;110.22;2.89;2.61;2.04;54.46;66.2;89.91
"Wfull";2021-05-24;832.69;483.74;114.7;2.92;2.68;2.06;53.31;63.14;89.19
"Wfull";2021-05-25;863.64;532.7;120;2.94;2.73;2.08;52.65;61.4;88.37
"Wfull";2021-05-26;870.99;538.92;123.55;2.94;2.73;2.09;52.5;61.19;87.84
"Wred";2021-04-16;92.16;74.73;80.2;1.96;1.87;1.9;93.15;96.94;95.66
"Wred";2021-04-17;97;76.63;81.08;1.99;1.88;1.91;92.22;96.48;95.46
"Wred";2021-04-18;101.63;77.75;81.46;2.01;1.89;1.91;91.37;96.22;95.38
"Wred";2021-04-19;102.5;79;82.19;2.01;1.9;1.91;91.22;95.93;95.22
"Wred";2021-04-20;99.44;78.86;82.58;2;1.9;1.92;91.77;95.96;95.13
"Wred";2021-04-21;92.11;78.1;82.78;1.96;1.89;1.92;93.15;96.14;95.09
"Wred";2021-04-22;87.55;78.9;83.32;1.94;1.9;1.92;94.07;95.95;94.97
"Wred";2021-04-23;87.47;78.34;83.62;1.94;1.89;1.92;94.09;96.08;94.9
"Wred";2021-04-24;86.39;78.13;83.93;1.94;1.89;1.92;94.31;96.13;94.84
"Wred";2021-04-25;84.29;78.17;84.07;1.93;1.89;1.92;94.76;96.12;94.81
"Wred";2021-04-26;87.23;77.35;84.82;1.94;1.89;1.93;94.14;96.31;94.65
"Wred";2021-04-27;87.54;78.79;85.31;1.94;1.9;1.93;94.08;95.98;94.54
"Wred";2021-04-28;84.61;79.54;86.05;1.93;1.9;1.93;94.69;95.81;94.39
"Wred";2021-04-29;62.31;80.07;86.75;1.79;1.9;1.94;100.23;95.69;94.24
"Wred";2021-04-30;54.09;77.89;87.7;1.73;1.89;1.94;102.79;96.19;94.04
"Wred";2021-05-01;60.76;75.14;87.93;1.78;1.88;1.94;100.68;96.84;93.99
"Wred";2021-05-02;67.39;74.55;88.53;1.83;1.87;1.95;98.81;96.98;93.87
"Wred";2021-05-03;74.2;75.16;88.81;1.87;1.88;1.95;97.07;96.83;93.81
"Wred";2021-05-04;84.43;77.17;89;1.93;1.89;1.95;94.73;96.36;93.78
"Wred";2021-05-05;89.82;80.99;89.93;1.95;1.91;1.95;93.61;95.48;93.59
"Wred";2021-05-06;87.79;82.91;90.45;1.94;1.92;1.96;94.02;95.06;93.48
"Wred";2021-05-07;79.63;84.37;91.44;1.9;1.93;1.96;95.79;94.74;93.29
"Wred";2021-05-08;81.91;84.06;91.5;1.91;1.92;1.96;95.28;94.81;93.27
"Wred";2021-05-09;99.65;85.16;91.69;2;1.93;1.96;91.73;94.57;93.24
"Wred";2021-05-10;144.75;90.95;91.77;2.16;1.96;1.96;84.97;93.38;93.22
"Wred";2021-05-11;133.29;96.99;92.44;2.12;1.99;1.97;86.47;92.22;93.09
"Wred";2021-05-12;79.81;99.23;93.21;1.9;2;1.97;95.75;91.81;92.94
"Wred";2021-05-13;108.88;102.92;93.52;2.04;2.01;1.97;90.13;91.15;92.88
"Wred";2021-05-14;175.22;113.26;94.19;2.24;2.05;1.97;81.52;89.41;92.75
"Wred";2021-05-15;261.48;127.71;95.31;2.42;2.11;1.98;74.27;87.24;92.54
"Wred";2021-05-16;338.18;145.13;96.7;2.53;2.16;1.99;69.62;84.93;92.27
"Wred";2021-05-17;326.91;160.41;98.51;2.51;2.21;1.99;70.23;83.12;91.94
"Wred";2021-05-18;253.77;171.41;99.88;2.4;2.23;2;74.81;81.92;91.69
"Wred";2021-05-19;287.13;186.12;101.38;2.46;2.27;2.01;72.58;80.43;91.42
"Wred";2021-05-20;392.61;208.83;103.46;2.59;2.32;2.01;66.92;78.34;91.05
"Wred";2021-05-21;548.28;248.2;105.41;2.74;2.39;2.02;60.87;75.22;90.71
"Wred";2021-05-22;683.78;297.35;108.73;2.83;2.47;2.04;56.88;71.95;90.15
"Wred";2021-05-23;773.17;366.74;112.5;2.89;2.56;2.05;54.66;68.15;89.53
"Wred";2021-05-24;826.03;446.75;116.88;2.92;2.65;2.07;53.46;64.58;88.84
"Wred";2021-05-25;858.45;499.53;122.05;2.93;2.7;2.09;52.76;62.56;88.06
"Wred";2021-05-26;866.83;509.78;125.98;2.94;2.71;2.1;52.59;62.19;87.49
