"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
91.32;93.58;94.71;96.97;96.05;96.25;90.13;92.91;94.29;97.07;95.99;96.29;16;12.06;12.06;3.9;20;63.79;37;87.5;6055.25;1.23;14.01;14.01;111.57;42.41;61338.57;13.4;216.95;55.2;20;30;50;1.2;0.269723573885605;11.4431455822163;4.72
92.68;94.18;94.93;96.43;95.86;96.04;91.32;93.58;94.71;96.97;96.05;96.25;17;10.05;10.05;4;15.5;53.62;28.1;77.6;6844.95;1.98;14.06;14.06;121.62;52.46;68183.52;13.4;231.01;69.26;20;30;50;1.2;0.326018655778302;11.7992316569676;0.8
93.04;94.42;95.11;96.49;95.89;95.99;92.68;94.18;94.93;96.43;95.86;96.04;18;10.31;10.31;1.5;17.6;53.17;29.6;84.4;7092.6;1.17;14.12;14.12;131.94;62.77;75276.12;13.4;245.13;83.38;20;30;50;1.2;0.397216492408495;12.4838406953209;0
93.04;94.48;95.19;96.63;95.91;95.91;93.04;94.42;95.11;96.49;95.89;95.99;19;11.3;11.3;3.2;18.4;54.17;32.9;81.2;6938.32;1.23;14.18;14.18;143.24;74.07;82214.45;13.4;259.31;97.56;20;30;50;1.2;0.493516774934433;12.9657389178772;4.36
93.87;94.85;95.33;96.31;95.82;95.82;93.04;94.48;95.19;96.63;95.91;95.91;20;10.67;10.67;4.8;16.6;48.3;27.2;67.8;7244.73;1.57;14.24;14.24;153.91;84.74;89459.18;13.4;273.55;111.8;20;30;50;1.2;0.611440161991061;13.2680386969815;0
93.25;94.53;95.18;96.46;95.76;95.7;93.87;94.85;95.33;96.31;95.82;95.82;21;9.76;9.76;1.9;16.1;43.16;27.7;73.9;7388.58;1.75;14.29;14.29;163.67;94.51;96847.75;13.4;287.84;126.09;20;30;50;1.2;0.746292657418406;13.4093452673346;0
93.54;94.6;95.12;96.18;95.6;95.54;93.25;94.53;95.18;96.46;95.76;95.7;22;10.82;10.82;2.7;17.6;40.61;25.4;59.7;7213.8;1.52;14.35;14.35;174.49;105.32;104061.55;13.4;302.19;140.44;20;30;50;1.2;0.892165610261572;13.4037567259933;5.28
128.38;112.44;104.46;88.52;95.76;95.04;93.54;94.6;95.12;96.18;95.6;95.54;23;11.83;11.83;1.9;21.9;58.81;29.1;93.9;6058.32;1.09;14.41;14.41;186.32;117.16;110119.88;20.1;316.6;154.85;20;30;50;1.2;1.04761371545111;13.3166794534415;12.93
130.81;119.95;114.52;103.66;99.98;90.88;128.38;112.44;104.46;88.52;95.76;95.04;24;11.42;11.42;5.6;17.2;70.19;35.9;95.8;5081.62;2.2;14.46;14.46;197.74;128.58;115201.5;24;331.06;169.31;20;30;50;1.2;1.20870853568984;13.1850816378539;6.7
114.75;115.71;116.2;117.16;103.09;89.51;130.81;119.95;114.52;103.66;99.98;90.88;25;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.37160776427222;13.0454239463982;3.9
110.08;111.4;112.05;113.37;102.86;93.02;114.75;115.71;116.2;117.16;103.09;89.51;26;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.53280107224076;12.9337165442392;0
106.52;108.34;109.24;111.06;102.79;95.43;110.08;111.4;112.05;113.37;102.86;93.02;27;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.68936640969868;12.8854876911122;0
104.22;106.6;107.8;110.18;102.92;96.84;106.52;108.34;109.24;111.06;102.79;95.43;28;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.83923857278191;12.935763576694;0
101.96;104.96;106.46;109.46;102.87;97.79;104.22;106.6;107.8;110.18;102.92;96.84;29;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.98145909514905;13.1189973412071;0
103.08;104.76;105.6;107.28;102.44;98.44;101.96;104.96;106.46;109.46;102.87;97.79;30;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;2.11582481428139;13.4786251120385;5.41
103.77;104.73;105.2;106.16;102.28;98.88;103.08;104.76;105.6;107.28;102.44;98.44;31;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.24472137156804;14.0407175513935;1.6
107.28;106.12;105.54;104.38;102;99.04;103.77;104.73;105.2;106.16;102.28;98.88;32;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.37215461100569;14.8305069449715;3.7
103.35;103.97;104.29;104.91;101.83;99.05;107.28;106.12;105.54;104.38;102;99.04;33;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.50663786475384;15.324361502179;0
98.64;101.38;102.76;105.5;101.6;99.08;103.35;103.97;104.29;104.91;101.83;99.05;34;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.64510665637967;15.8076067579058;0
91.58;97.26;100.09;105.77;101.15;99.37;98.64;101.38;102.76;105.5;101.6;99.08;35;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.78827337656651;16.2777113183647;0
