satz_id;variante_H2O;wiederholung;datum_bewaesserung;bewaesserung_mm
5;Wred;d;2021-08-01;4.88
5;Wfull_plus;a;2021-08-11;11.96
5;Wfull_plus;b;2021-08-11;12.38
5;Wfull_plus;c;2021-08-11;12.06
5;Wfull_plus;d;2021-08-11;11.81
5;Wfull_plus;a;2021-08-14;9.18
5;Wfull_plus;b;2021-08-14;9.33
5;Wfull_plus;c;2021-08-14;9.24
5;Wfull_plus;d;2021-08-14;8.99
5;Wfull;a;2021-08-14;9.31
5;Wfull;b;2021-08-14;8.99
5;Wfull;c;2021-08-14;8.84
5;Wfull;d;2021-08-14;9.43
5;Wfull_plus;a;2021-08-17;4.51
5;Wfull_plus;b;2021-08-17;4.67
5;Wfull_plus;c;2021-08-17;4.67
5;Wfull_plus;d;2021-08-17;4.42
5;Wfull;a;2021-08-17;4.67
5;Wfull;b;2021-08-17;4.51
5;Wfull;c;2021-08-17;4.42
5;Wfull;d;2021-08-17;4.67
5;Wred;a;2021-08-17;4.69
5;Wred;b;2021-08-17;4.4
5;Wred;c;2021-08-17;4.53
5;Wred;d;2021-08-17;4.65
5;Wfull_plus;a;2021-08-21;20.9
5;Wfull_plus;b;2021-08-21;21.71
5;Wfull_plus;c;2021-08-21;21.16
5;Wfull_plus;d;2021-08-21;20.72
5;Wfull_plus;a;2021-08-24;4.84
5;Wfull_plus;b;2021-08-24;4.97
5;Wfull_plus;c;2021-08-24;4.99
5;Wfull_plus;d;2021-08-24;4.84
5;Wfull;a;2021-08-24;5.01
5;Wfull;b;2021-08-24;4.84
5;Wfull;c;2021-08-24;4.86
5;Wfull;d;2021-08-24;4.95
5;Wred;a;2021-08-24;4.99
5;Wred;b;2021-08-24;4.86
5;Wred;c;2021-08-24;4.84
5;Wred;d;2021-08-24;4.97
5;Wfull_plus;a;2021-08-31;21.33
5;Wfull_plus;b;2021-08-31;21.56
5;Wfull_plus;c;2021-08-31;21.5
5;Wfull_plus;d;2021-08-31;21.26
5;Wfull;a;2021-08-31;21.64
5;Wfull;b;2021-08-31;21.07
5;Wfull;c;2021-08-31;20.88
5;Wfull;d;2021-08-31;21.75
5;Wfull_plus;a;2021-09-06;22.55
5;Wfull_plus;b;2021-09-06;23.07
5;Wfull_plus;c;2021-09-06;23.87
5;Wfull_plus;d;2021-09-06;21.77
5;Wfull;a;2021-09-06;23.64
5;Wfull;b;2021-09-06;22.74
5;Wfull;c;2021-09-06;21.83
5;Wfull;d;2021-09-06;23.12
5;Wred;a;2021-09-06;22.91
5;Wred;b;2021-09-06;21.92
5;Wred;c;2021-09-06;22.86
5;Wred;d;2021-09-06;23.81
6;Wfull_plus;a;2022-04-19;0.2
6;Wfull_plus;b;2022-04-19;0.7
6;Wfull_plus;c;2022-04-19;0.2
6;Wfull_plus;d;2022-04-19;0.7
6;Wfull;a;2022-04-19;0.2
6;Wfull;b;2022-04-19;0.6
6;Wfull;c;2022-04-19;0.2
6;Wfull;d;2022-04-19;0.7
6;Wred;a;2022-04-19;0.2
6;Wred;b;2022-04-19;0.7
6;Wred;c;2022-04-19;0.2
6;Wred;d;2022-04-19;0.7
6;Wfull_plus;a;2022-04-22;7.5
6;Wfull_plus;b;2022-04-22;7.1
6;Wfull_plus;c;2022-04-22;6.9
6;Wfull_plus;d;2022-04-22;7.3
6;Wfull;a;2022-04-22;7.3
6;Wfull;b;2022-04-22;6.9
6;Wfull;c;2022-04-22;7.5
6;Wfull;d;2022-04-22;7.1
6;Wred;a;2022-04-22;6.9
6;Wred;b;2022-04-22;7.3
6;Wred;c;2022-04-22;7.1
6;Wred;d;2022-04-22;7.5
6;Wfull_plus;a;2022-04-28;7.6
6;Wfull_plus;b;2022-04-28;7.1
6;Wfull_plus;c;2022-04-28;7
6;Wfull_plus;d;2022-04-28;7.5
6;Wfull;a;2022-04-28;7.4
6;Wfull;b;2022-04-28;7.1
6;Wfull;c;2022-04-28;7.6
6;Wfull;d;2022-04-28;7.1
6;Wred;a;2022-04-28;7.1
6;Wred;b;2022-04-28;7.4
6;Wred;c;2022-04-28;7.1
6;Wred;d;2022-04-28;7.6
6;Wfull_plus;a;2022-05-02;7.6
6;Wfull_plus;b;2022-05-02;7.1
6;Wfull_plus;c;2022-05-02;7
6;Wfull_plus;d;2022-05-02;7.4
6;Wfull;a;2022-05-02;7.4
6;Wfull;b;2022-05-02;7.1
6;Wfull;c;2022-05-02;7.6
6;Wfull;d;2022-05-02;7.1
6;Wred;a;2022-05-02;7.1
6;Wred;b;2022-05-02;7.4
6;Wred;c;2022-05-02;7
6;Wred;d;2022-05-02;7.6
6;Wfull_plus;a;2022-05-06;16.8
6;Wfull_plus;b;2022-05-06;15.4
6;Wfull_plus;c;2022-05-06;15.5
6;Wfull_plus;d;2022-05-06;16.4
6;Wfull;a;2022-05-06;8.6
6;Wfull;b;2022-05-06;8.3
6;Wfull;c;2022-05-06;8.7
6;Wfull;d;2022-05-06;8.2
6;Wred;a;2022-05-06;1
6;Wred;b;2022-05-06;1.1
6;Wred;c;2022-05-06;1.1
6;Wred;d;2022-05-06;1
6;Wfull_plus;a;2022-05-07;10.5
6;Wfull_plus;b;2022-05-07;9.6
6;Wfull_plus;c;2022-05-07;9.7
6;Wfull_plus;d;2022-05-07;10.3
6;Wfull_plus;a;2022-05-09;4.2
6;Wfull_plus;b;2022-05-09;3.9
6;Wfull_plus;c;2022-05-09;3.9
6;Wfull_plus;d;2022-05-09;4.2
6;Wfull;a;2022-05-09;4.1
6;Wfull;b;2022-05-09;3.9
6;Wfull;c;2022-05-09;4.3
6;Wfull;d;2022-05-09;4
6;Wred;a;2022-05-09;3.9
6;Wred;b;2022-05-09;4.1
6;Wred;c;2022-05-09;3.9
6;Wred;d;2022-05-09;4.3
6;Wfull_plus;a;2022-05-14;24.9
6;Wfull_plus;b;2022-05-14;22.7
6;Wfull_plus;c;2022-05-14;22.9
6;Wfull_plus;d;2022-05-14;24.3
6;Wfull;a;2022-05-14;15.8
6;Wfull;b;2022-05-14;15
6;Wfull;c;2022-05-14;16.3
6;Wfull;d;2022-05-14;15.1
6;Wfull_plus;a;2022-05-23;4.9
6;Wfull_plus;b;2022-05-23;4.4
6;Wfull_plus;c;2022-05-23;4.5
6;Wfull_plus;d;2022-05-23;4.7
6;Wfull;a;2022-05-23;4.6
6;Wfull;b;2022-05-23;4.5
6;Wfull;c;2022-05-23;4.9
6;Wfull;d;2022-05-23;4.4
6;Wred;a;2022-05-23;4.5
6;Wred;b;2022-05-23;4.6
6;Wred;c;2022-05-23;4.4
6;Wred;d;2022-05-23;4.9
6;Wfull_plus;a;2022-05-25;31.6
6;Wfull_plus;b;2022-05-25;28.2
6;Wfull_plus;c;2022-05-25;28.9
6;Wfull_plus;d;2022-05-25;29.8
6;Wfull;a;2022-05-26;21.9
6;Wfull;b;2022-05-26;21.2
6;Wfull;c;2022-05-26;22.8
6;Wfull;d;2022-05-26;20.8
6;Wfull_plus;a;2022-05-28;22.9
6;Wfull_plus;b;2022-05-28;20.2
6;Wfull_plus;c;2022-05-28;20.7
6;Wfull_plus;d;2022-05-28;21.2
6;Wfull;a;2022-05-30;17.3
6;Wfull;b;2022-05-30;16.6
6;Wfull;c;2022-05-30;18.1
6;Wfull;d;2022-05-30;16.5
7;Wfull_plus;a;2022-06-16;9.4
7;Wfull_plus;b;2022-06-16;9.2
7;Wfull_plus;c;2022-06-16;9.6
7;Wfull_plus;d;2022-06-16;9
7;Wfull;a;2022-06-16;9
7;Wfull;b;2022-06-16;9.7
7;Wfull;c;2022-06-16;9.4
7;Wfull;d;2022-06-16;9.2
7;Wred;a;2022-06-16;9.7
7;Wred;b;2022-06-16;9
7;Wred;c;2022-06-16;9.2
7;Wred;d;2022-06-16;9.4
7;Wfull_plus;a;2022-06-18;9.6
7;Wfull_plus;b;2022-06-18;9.4
7;Wfull_plus;c;2022-06-18;9.8
7;Wfull_plus;d;2022-06-18;9.2
7;Wfull;a;2022-06-18;9.1
7;Wfull;b;2022-06-18;9.8
7;Wfull;c;2022-06-18;9.6
7;Wfull;d;2022-06-18;9.4
7;Wred;a;2022-06-18;9.8
7;Wred;b;2022-06-18;9.1
7;Wred;c;2022-06-18;9.4
7;Wred;d;2022-06-18;9.6
7;Wfull_plus;a;2022-06-20;9.7
7;Wfull_plus;b;2022-06-20;9.6
7;Wfull_plus;c;2022-06-20;9.8
7;Wfull_plus;d;2022-06-20;9.2
7;Wfull;a;2022-06-20;9.1
7;Wfull;b;2022-06-20;9.9
7;Wfull;c;2022-06-20;9.7
7;Wfull;d;2022-06-20;9.6
7;Wred;a;2022-06-20;9.8
7;Wred;b;2022-06-20;9.2
7;Wred;c;2022-06-20;9.6
7;Wred;d;2022-06-20;9.7
7;Wfull_plus;a;2022-06-22;5
7;Wfull_plus;b;2022-06-22;5
7;Wfull_plus;c;2022-06-22;5.1
7;Wfull_plus;d;2022-06-22;4.7
7;Wfull;a;2022-06-22;4.7
7;Wfull;b;2022-06-22;5.1
7;Wfull;c;2022-06-22;5
7;Wfull;d;2022-06-22;5
7;Wred;a;2022-06-22;5.1
7;Wred;b;2022-06-22;4.7
7;Wred;c;2022-06-22;5
7;Wred;d;2022-06-22;5
7;Wfull_plus;a;2022-07-01;16.7
7;Wfull_plus;b;2022-07-01;16.5
7;Wfull_plus;c;2022-07-01;17
7;Wfull_plus;d;2022-07-01;15.8
7;Wfull;a;2022-07-01;10.4
7;Wfull;b;2022-07-01;11.4
7;Wfull;c;2022-07-01;11
7;Wfull;d;2022-07-01;11
7;Wfull_plus;a;2022-07-04;12.7
7;Wfull_plus;b;2022-07-04;12.2
7;Wfull_plus;c;2022-07-04;12.7
7;Wfull_plus;d;2022-07-04;12
7;Wfull;a;2022-07-05;10.3
7;Wfull;b;2022-07-05;11
7;Wfull;c;2022-07-05;10.7
7;Wfull;d;2022-07-05;10.6
7;Wfull_plus;a;2022-07-07;12.2
7;Wfull_plus;b;2022-07-07;11.7
7;Wfull_plus;c;2022-07-07;11.8
7;Wfull_plus;d;2022-07-07;11.5
7;Wred;a;2022-07-07;10.5
7;Wred;b;2022-07-07;9.8
7;Wred;c;2022-07-07;10
7;Wred;d;2022-07-07;10.5
7;Wfull_plus;a;2022-07-09;10.9
7;Wfull_plus;b;2022-07-09;10.8
7;Wfull_plus;c;2022-07-09;11
7;Wfull_plus;d;2022-07-09;10.6
7;Wfull;a;2022-07-09;11.5
7;Wfull;b;2022-07-09;12.1
7;Wfull;c;2022-07-09;11.7
7;Wfull;d;2022-07-09;11.9
7;Wfull_plus;a;2022-07-11;5.4
7;Wfull_plus;b;2022-07-11;5.5
7;Wfull_plus;c;2022-07-11;5.6
7;Wfull_plus;d;2022-07-11;5.3
7;Wfull;a;2022-07-11;5.3
7;Wfull;b;2022-07-11;5.6
7;Wfull;c;2022-07-11;5.4
7;Wfull;d;2022-07-11;5.5
7;Wred;a;2022-07-11;5.6
7;Wred;b;2022-07-11;5.3
7;Wred;c;2022-07-11;5.4
7;Wred;d;2022-07-11;5.4
7;Wfull_plus;a;2022-07-14;26.3
7;Wfull_plus;b;2022-07-14;26.7
7;Wfull_plus;c;2022-07-14;27.1
7;Wfull_plus;d;2022-07-14;26.2
7;Wfull;a;2022-07-14;20.7
7;Wfull;b;2022-07-14;21.9
7;Wfull;c;2022-07-14;20.6
7;Wfull;d;2022-07-14;21.5
7;Wfull_plus;a;2022-07-16;18.3
7;Wfull_plus;b;2022-07-16;18.3
7;Wfull_plus;c;2022-07-16;18.3
7;Wfull_plus;d;2022-07-16;17.4
7;Wfull_plus;a;2022-07-19;30.7
7;Wfull_plus;b;2022-07-19;31
7;Wfull_plus;c;2022-07-19;31.1
7;Wfull_plus;d;2022-07-19;29.3
7;Wfull;a;2022-07-19;39.3
7;Wfull;b;2022-07-19;41.2
7;Wfull;c;2022-07-19;40.5
7;Wfull;d;2022-07-19;41
7;Wred;a;2022-07-19;34.7
7;Wred;b;2022-07-19;32.8
7;Wred;c;2022-07-19;34.4
7;Wred;d;2022-07-19;34.3
7;Wfull_plus;a;2022-07-23;20.7
7;Wfull_plus;b;2022-07-23;21.3
7;Wfull_plus;c;2022-07-23;20.3
7;Wfull_plus;d;2022-07-23;20.4
7;Wfull;a;2022-07-24;23.4
7;Wfull;b;2022-07-24;23.8
7;Wfull;c;2022-07-24;23.2
7;Wfull;d;2022-07-24;23.7
8;Wfull_plus;a;2022-07-25;0.2
8;Wfull_plus;b;2022-07-25;0.3
8;Wfull_plus;c;2022-07-25;0.2
8;Wfull_plus;d;2022-07-25;0.3
8;Wfull;a;2022-07-25;0.2
8;Wfull;b;2022-07-25;0.3
8;Wfull;c;2022-07-25;0.2
8;Wfull;d;2022-07-25;0.2
8;Wred;a;2022-07-25;0.2
8;Wred;b;2022-07-25;0.3
8;Wred;c;2022-07-25;0.2
8;Wred;d;2022-07-25;0.3
8;Wfull_plus;a;2022-07-26;9
8;Wfull_plus;b;2022-07-26;8.6
8;Wfull_plus;c;2022-07-26;8.7
8;Wfull_plus;d;2022-07-26;8.6
8;Wfull;a;2022-07-26;8.6
8;Wfull;b;2022-07-26;8.7
8;Wfull;c;2022-07-26;9
8;Wfull;d;2022-07-26;8.6
8;Wred;a;2022-07-26;8.7
8;Wred;b;2022-07-26;8.6
8;Wred;c;2022-07-26;8.6
8;Wred;d;2022-07-26;9
8;Wfull_plus;a;2022-07-27;3.7
8;Wfull_plus;b;2022-07-27;3.5
8;Wfull_plus;c;2022-07-27;3.5
8;Wfull_plus;d;2022-07-27;3.5
8;Wfull;a;2022-07-27;3.5
8;Wfull;b;2022-07-27;3.5
8;Wfull;c;2022-07-27;3.7
8;Wfull;d;2022-07-27;3.5
8;Wred;a;2022-07-27;3.5
8;Wred;b;2022-07-27;3.5
8;Wred;c;2022-07-27;3.5
8;Wred;d;2022-07-27;3.7
8;Wfull_plus;a;2022-07-29;4.2
8;Wfull_plus;b;2022-07-29;4
8;Wfull_plus;c;2022-07-29;3.8
8;Wfull_plus;d;2022-07-29;3.7
8;Wfull;a;2022-07-29;4
8;Wfull;b;2022-07-29;4.1
8;Wfull;c;2022-07-29;4
