"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
103.46;107.96;100.33;105.41;108.99;99.88;29;52.11;40.64;61.96;1.72;1.61;1.79;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.91138461538462;13.1001538461538;0
103.92;106.44;100.44;103.46;107.96;100.33;30;50.8;44.2;61.59;1.71;1.65;1.79;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;2.03173076923077;13.5451923076923;5.41
104.25;105.68;100.58;103.92;106.44;100.44;31;49.9;46.1;61.1;1.7;1.66;1.79;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.15207692307692;13.9902307692308;1.6
106.7;104.96;100.52;104.25;105.68;100.58;32;43.56;47.98;61.31;1.64;1.68;1.79;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.27242307692308;14.4352692307692;3.7
103.66;104.6;100.44;106.7;104.96;100.52;33;51.55;48.94;61.59;1.71;1.69;1.79;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.39276923076923;14.8803076923077;0
100.01;104.13;100.34;103.66;104.6;100.44;34;63.06;50.23;61.93;1.8;1.7;1.79;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.51311538461538;15.3253461538462;0
94.42;102.93;100.26;100.01;104.13;100.34;35;85.88;53.67;62.19;1.93;1.73;1.79;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.63346153846154;15.7703846153846;0
97.06;101.51;100.18;94.42;102.93;100.26;36;74.21;58.05;62.47;1.87;1.76;1.8;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.75380769230769;16.2154230769231;7.2
106.1;100.78;99.91;97.06;101.51;100.18;37;45.05;60.43;63.4;1.65;1.78;1.8;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.87415384615385;16.6604615384615;4
99.46;99.8;99.67;106.1;100.78;99.91;38;65.01;63.78;64.27;1.81;1.8;1.81;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;3;17.025;0
