"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
66.79;78.61;84.52;96.34;93.57;96.71;65.8975;78.9675;85.5025;98.5725;94.3075;96.5775;23;17.89;17.89;14.1;21.6;76.52;58.8;93.2;2957.48;1.18;14.21;14.21;432.01;432.01;109386.25;24.5;340.29;340.29;20;30;50;1.2;3.63486607142857;19.3655357142857;7.6675
63.43;76.065;82.3775;95.0125;92.7325;96.7625;66.79;78.61;84.52;96.34;93.57;96.71;24;19.1;19.1;16.3;23.3;77.63;62.9;91.2;3355.75;1.1;14.15;14.15;451.11;451.11;112742;24.6;354.44;354.44;20;30;50;1.2;3.68729910714286;19.5708035714286;0
57.0775;71.8675;79.2625;94.0525;91.8475;97.0425;63.43;76.065;82.3775;95.0125;92.7325;96.7625;25;19.19;19.19;12.9;26.1;73.51;48.3;95.5;4794.7;0.83;14.09;14.09;470.3;470.3;117536.7;24.6;368.53;368.53;20;30;50;1.2;3.73973214285714;19.7760714285714;0.1
51.28;67.565;75.71;91.995;90.6675;97.4775;57.0775;71.8675;79.2625;94.0525;91.8475;97.0425;26;20.73;20.73;13.4;28.7;71.26;43.9;94.3;5763.15;0.61;14.04;14.04;491.03;491.03;123299.85;26.4;382.57;382.57;20;30;50;1.2;3.78995535714286;19.9725669642857;0
86.12;84.755;84.0675;82.7025;90.2375;97.0875;51.28;67.565;75.71;91.995;90.6675;97.4775;27;18.75;18.75;13.8;24.1;82.64;47.2;95.2;3656.98;0.95;13.98;13.98;509.78;509.78;126956.82;37;396.55;396.55;20;30;50;1.2;3.82544642857143;20.1105803571429;22.9225
124.7075;110.2575;103.035;88.585;94.3275;92.8425;86.12;84.755;84.0675;82.7025;90.2375;97.0875;28;17.95;17.95;13.1;23.6;80.73;58.8;96.6;3631.93;0.88;13.92;13.92;527.72;527.72;130588.75;37.5;410.47;410.47;20;30;50;1.2;3.8471875;20.20984375;10.6
114.9375;105.7625;101.1725;91.9975;95.065;93.55;124.7075;110.2575;103.035;88.585;94.3275;92.8425;29;16.67;16.67;9.9;21.3;69.57;54;91.2;5031.18;1.26;13.86;13.86;544.39;544.39;135619.92;37.5;424.33;424.33;20;30;50;1.2;3.865;20.2980357142857;0.5
113.8625;104.1625;99.315;89.615;94.6825;94.9025;114.9375;105.7625;101.1725;91.9975;95.065;93.55;30;17.52;17.52;10.3;24.7;68.46;39.6;94.1;6499.32;0.87;13.8;13.8;561.91;561.91;142119.25;37.5;438.13;438.13;20;30;50;1.2;3.8828125;20.3862276785714;4.91
102.8625;96.8125;93.79;87.74;93.3225;95.8725;113.8625;104.1625;99.315;89.615;94.6825;94.9025;31;17.17;17.17;13.7;20.8;70.2;57.2;91.5;4545.52;1.72;13.74;13.74;579.08;579.08;146664.78;37.7;451.87;451.87;20;30;50;1.2;3.90200892857143;20.4858482142857;0
95.6125;91.4675;89.4;85.255;91.8525;96.3775;102.8625;96.8125;93.79;87.74;93.3225;95.8725;32;15.05;15.05;10.8;19.6;79.7;60.4;90.7;2603.43;1.32;13.69;13.69;594.14;594.14;149268.2;39.3;465.56;465.56;20;30;50;1.2;3.92512648809524;20.617849702381;0.2
92.1425;88.8025;87.1375;83.7975;90.7475;96.0275;95.6125;91.4675;89.4;85.255;91.8525;96.3775;33;15.74;15.74;12.2;19.6;81.6;64.3;93.6;2528.43;0.68;13.63;13.63;609.87;609.87;151796.62;40;479.19;479.19;20;30;50;1.2;3.94824404761905;20.7498511904762;1.6
90.04;87.115;85.655;82.73;89.8625;95.5275;92.1425;88.8025;87.1375;83.7975;90.7475;96.0275;34;15.7;15.7;14.6;17;85.72;79.3;92;1258.33;1.46;13.57;13.57;625.58;625.58;153054.95;40.7;492.76;492.76;20;30;50;1.2;3.96738095238095;20.842380952381;0.7
85.7325;83.6775;82.6525;80.5975;88.475;95.32;90.04;87.115;85.655;82.73;89.8625;95.5275;35;18;18;15.7;21.2;76.33;61.1;88.8;2290.28;1.62;13.51;13.51;643.58;643.58;155345.22;40.7;506.27;506.27;20;30;50;1.2;3.98104166666667;20.9044791666667;0.7
78.075;77.925;77.845;77.695;86.5225;95.2725;85.7325;83.6775;82.6525;80.5975;88.475;95.32;36;17.01;17.01;12.5;20.8;75.47;61.8;92.7;3240.48;1.42;13.45;13.45;660.58;660.58;158585.7;40.7;519.72;519.72;20;30;50;1.2;3.99322916666667;20.9673139880952;0
106.0075;94.9475;89.415;78.355;87.7475;91.6075;78.075;77.925;77.845;77.695;86.5225;95.2725;37;16.97;16.97;11.5;22.6;72.37;50.5;92.4;4370.02;1.48;13.39;13.39;677.55;677.55;162955.72;40.7;533.11;533.11;20;30;50;1.2;4.00541666666667;21.0301488095238;21.4125
106.4825;97.0525;92.335;82.905;88.2275;88.8325;106.0075;94.9475;89.415;78.355;87.7475;91.6075;38;17.05;17.05;10.5;24.5;72.24;46.7;92.2;5387.8;1.05;13.33;13.33;694.61;694.61;168343.52;40.7;546.44;546.44;20;30;50;1.2;4.01760416666667;21.0929836309524;0
97.4;90.105;86.4625;79.1675;85.7675;88.7225;106.4825;97.0525;92.335;82.905;88.2275;88.8325;39;18.08;18.08;10.2;26.5;69.7;38.4;95.5;5863.23;0.92;13.27;13.27;712.69;712.69;174206.75;40.7;559.71;559.71;20;30;50;1.2;4.03026785714286;21.2545089285714;0
88.58;83.345;80.735;75.5;83.1125;88.1025;97.4;90.105;86.4625;79.1675;85.7675;88.7225;40;18.44;18.44;9.6;27.3;68.75;37.1;95.6;5582.9;0.72;13.21;13.21;731.13;731.13;179789.65;40.7;572.92;572.92;20;30;50;1.2;4.04122023809524;21.3870089285714;0
79.5875;76.7075;75.2725;72.3925;80.335;86.84;88.58;83.345;80.735;75.5;83.1125;88.1025;41;19.63;19.63;12.4;28.6;69.07;39.9;94.3;5152.45;0.67;13.15;13.15;750.76;750.76;184942.1;40.7;586.07;586.07;20;30;50;1.2;4.05154761904762;21.5049107142857;0
98.7025;90.6725;86.6575;78.6275;82.7075;82.7725;89.34;83.27;80.24;74.17;72.6333333333333;76.3;15;23.48;23.48;15.9;30.6;39.04;24.9;57.2;7224.05;1.33;14.77;14.77;345.21;339.97;89651.1;5.5;226.7;226.7;20;30;50;1.2;0.3475;12.2825;0
106.7325;95.0075;89.14;77.415;82.9075;82.5325;98.7025;90.6725;86.6575;78.6275;82.7075;82.7725;16;24.98;24.98;16.8;31.1;39.49;27.4;59.5;7073.68;1.55;14.71;14.71;370.19;364.95;96724.78;5.5;241.41;241.41;20;30;50;1.2;0.460403225806452;12.9881451612903;9.05
113.525;99.11;91.9;77.485;83.345;81.995;106.7325;95.0075;89.14;77.415;82.9075;82.5325;17;24.46;24.46;15.2;31.1;41.69;26.3;68.3;7052.25;1.26;14.66;14.66;394.65;389.41;103777.03;5.5;256.07;256.07;20;30;50;1.2;0.573306451612903;13.6937903225806;9.1
98.765;92.34;89.125;82.7;83.79;81.675;113.525;99.11;91.9;77.485;83.345;81.995;18;23.72;23.72;14.2;31.4;45.18;25.9;73.1;6946.98;1.28;14.61;14.61;418.36;413.13;110724;5.5;270.68;270.68;20;30;50;1.2;0.720215053763441;14.168938172043;0
91.83;88.905;87.4525;84.5275;83.87;81.745;98.765;92.34;89.125;82.7;83.79;81.675;19;23.73;23.73;15;31;44.86;24.7;76.7;7052.7;1.3;14.55;14.55;442.09;436.86;117776.7;5.5;285.23;285.23;20;30;50;1.2;0.876397849462366;14.5812231182796;0
96.5575;91.4025;88.8225;83.6675;84.06;81.875;91.83;88.905;87.4525;84.5275;83.87;81.745;20;23.34;23.34;13.7;31.5;46.56;26.5;75.8;6988.88;1.04;14.5;14.5;465.44;460.2;124765.57;5.5;299.73;299.73;20;30;50;1.2;1.03258064516129;14.9935080645161;10.275
90.285;88.6;87.7625;86.0775;84.325;81.73;96.5575;91.4025;88.8225;83.6675;84.06;81.875;21;24.47;24.47;15.4;32.9;53.24;30.5;85.1;6269.52;0.92;14.45;14.45;489.91;484.67;131035.1;5.5;314.18;314.18;20;30;50;1.2;1.18876344086022;15.4057930107527;0
82.735;84.06;84.7225;86.0475;83.7125;82.0375;90.285;88.6;87.7625;86.0775;84.325;81.73;22;22.13;22.13;17.5;27;62.99;49.8;80.7;3020.07;0.89;14.39;14.39;512.04;506.8;134055.17;5.6;328.57;328.57;20;30;50;1.2;1.34494623655914;15.8180779569892;0
75.6425;80.9375;83.58;88.875;84.1125;81.9975;82.735;84.06;84.7225;86.0475;83.7125;82.0375;23;22.92;22.92;14.7;30.6;62.53;36.9;90.3;6588.23;0.77;14.33;14.33;534.95;529.71;140643.4;5.6;342.9;342.9;20;30;50;1.2;1.50112903225806;16.2303629032258;0.1
96.92;90.92;87.92;81.92;83.705;82.49;75.6425;80.9375;83.58;88.875;84.1125;81.9975;24;23.17;23.17;16.9;30.7;62.21;38.5;83.7;3960.4;1.02;14.28;14.28;558.12;552.89;144603.8;5.6;357.18;357.18;20;30;50;1.2;1.65731182795699;16.6426478494624;16.6
93.265;89.325;87.3575;83.4175;83.78;82.175;96.92;90.92;87.92;81.92;83.705;82.49;25;22.84;22.84;18.9;27.3;63.94;50;76;2875.25;1.26;14.22;14.22;580.96;575.73;147479.05;5.6;371.4;371.4;20;30;50;1.2;1.81349462365591;17.0549327956989;0
82.4575;84.3725;85.3325;87.2475;84.0925;81.8925;93.265;89.325;87.3575;83.4175;83.78;82.175;26;24.11;24.11;19;30;57.36;39.5;74.8;5776.12;1.73;14.16;14.16;605.07;599.83;153255.17;5.6;385.56;385.56;20;30;50;1.2;1.96967741935484;17.4672177419355;0
80.8075;83.5675;84.95;87.71;84.035;81.745;82.4575;84.3725;85.3325;87.2475;84.0925;81.8925;27;22.94;22.94;14.6;29.4;57.83;28.1;82.5;5689.65;1.21;14.11;14.11;628.01;622.78;158944.83;5.6;399.67;399.67;20;30;50;1.2;2.12586021505376;17.879502688172;10.575
72.02;78.575;81.855;88.41;83.8275;82.5225;80.8075;83.5675;84.95;87.71;84.035;81.745;28;21.58;21.58;11.9;29.9;52.33;29.9;85.1;6519.62;1.06;14.05;14.05;649.6;644.36;165464.45;5.6;413.72;413.72;20;30;50;1.2;2.28204301075269;18.2917876344086;0
58.895;72.165;78.795;92.065;83.795;82.16;72.02;78.575;81.855;88.41;83.8275;82.5225;29;23.99;23.99;16.1;31.2;45.56;27.3;66.3;6099.3;0.99;13.99;13.99;673.59;668.35;171563.75;5.6;427.71;427.71;20;30;50;1.2;2.43822580645161;18.7040725806452;0
73.015;78.855;81.7825;87.6225;83.5475;82.3975;58.895;72.165;78.795;92.065;83.795;82.16;30;23.97;23.97;14.2;32.8;47.61;28.6;75.1;5964.73;0.66;13.94;13.94;697.56;692.32;177528.48;5.6;441.65;441.65;20;30;50;1.2;2.59440860215054;19.1163575268817;20.225
76.8225;80.5825;82.46;86.22;83.37;82.395;73.015;78.855;81.7825;87.6225;83.5475;82.3975;31;24.24;24.24;15.1;32.7;50.57;28.1;79.2;5954.9;0.8;13.88;13.88;721.8;716.56;183483.38;5.6;455.53;455.53;20;30;50;1.2;2.7669623655914;19.4508333333333;0
