"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
126.42;114.8;104.13;102.22;103.93;104.76;31;16.83;16.83;15.1;18.4;90.05;82;94.9;952.8;0.9;15.84;15.84;629.19;623.67;155306.05;97.9;499.8;499.8;20;30;50;1.2;3.21491228070175;18.6378947368421;14.6
123.96;130.71;105.46;126.42;114.8;104.13;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.3878947368421;18.7094736842105;3.9
118.04;121.07;107.31;123.96;130.71;105.46;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.52052631578947;18.8389473684211;1.4
109.89;115.54;107.33;118.04;121.07;107.31;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.55631578947368;19.1073684210526;5.2
100.11;109.79;106.14;109.89;115.54;107.33;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.5921052631579;19.3757894736842;0
88.45;103.93;104.61;100.11;109.79;106.14;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.6278947368421;19.6442105263158;0
75.49;98.03;103.34;88.45;103.93;104.61;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.66368421052632;19.9126315789474;0
64.69;91.37;102.14;75.49;98.03;103.34;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.71421052631579;20.2940350877193;4.74
57.77;83.68;100.87;64.69;91.37;102.14;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.7678947368421;20.699649122807;0
123.96;130.71;105.46;126.42;114.8;104.13;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.3878947368421;18.7094736842105;3.9
118.04;121.07;107.31;123.96;130.71;105.46;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.52052631578947;18.8389473684211;1.4
109.89;115.54;107.33;118.04;121.07;107.31;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.55631578947368;19.1073684210526;5.2
100.11;109.79;106.14;109.89;115.54;107.33;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.5921052631579;19.3757894736842;0
88.45;103.93;104.61;100.11;109.79;106.14;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.6278947368421;19.6442105263158;0
75.49;98.03;103.34;88.45;103.93;104.61;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.66368421052632;19.9126315789474;0
64.69;91.37;102.14;75.49;98.03;103.34;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.71421052631579;20.2940350877193;4.74
57.77;83.68;100.87;64.69;91.37;102.14;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.7678947368421;20.699649122807;0
94.59;104.83;99.86;57.77;83.68;100.87;40;20.99;20.99;12.5;28.2;65.23;40.6;94.3;7572.23;0.91;15.51;15.51;811.69;806.17;214857.55;104.5;640.79;640.79;20;30;50;1.2;3.82157894736842;21.1052631578947;28.08
107.49;102.78;99.29;94.59;104.83;99.86;41;19.36;19.36;14.2;24.1;80.17;62.6;94.4;3775.52;0.75;15.47;15.47;831.05;825.52;218633.08;110.5;656.26;656.26;20;30;50;1.2;3.87421052631579;21.4568421052632;0
104.41;94.97;98.24;107.49;102.78;99.29;42;20.69;20.69;15.4;28.6;78.72;43.7;96.2;6581.35;0.75;15.43;15.43;851.74;846.22;225214.42;114.2;671.69;671.69;20;30;50;1.2;3.92565789473684;21.7476315789474;6
99.62;87.19;96.65;104.41;94.97;98.24;43;21.11;21.11;14.7;27.6;73.62;46.7;96.7;6709.98;0.91;15.38;15.38;872.85;867.33;231924.4;114.5;687.07;687.07;20;30;50;1.2;3.9771052631579;22.0384210526316;3.7
85.8;81.3;95.22;99.62;87.19;96.65;44;19.34;19.34;14.7;25.7;78.37;54.9;94.2;4332.38;0.88;15.34;15.34;892.19;886.67;236256.78;115.9;702.41;702.41;20;30;50;1.2;4.02855263157895;22.3292105263158;0.3
82.17;79.58;94.23;85.8;81.3;95.22;45;19.11;19.11;13.4;25.2;77.19;54;95.9;4403.48;1.14;15.3;15.3;911.3;905.78;240660.25;116;717.71;717.71;20;30;50;1.2;4.08;22.62;1.4
99.87;110.76;114.2;82.17;79.58;94.23;26;18.83;18.83;14.2;22.8;77.21;63.1;90.5;3675.15;1.08;15.99;15.99;535.06;529.54;137390.85;71.1;420.27;420.27;20;30;50;1.2;2.34;15.97;0.1
95.09;108.93;112.69;99.87;110.76;114.2;27;19.42;19.42;12.3;26.1;74.85;47.5;95.9;6242.45;0.89;15.96;15.96;554.49;548.97;143633.3;78.6;436.23;436.23;20;30;50;1.2;2.53982456140351;16.7782456140351;1.1
96.86;107.38;111.45;95.09;108.93;112.69;28;19.05;19.05;15;24.7;78.22;52.8;95.3;4810.6;0.66;15.94;15.94;573.54;568.02;148443.9;78.7;452.17;452.17;20;30;50;1.2;2.73964912280702;17.5864912280702;7.5
89.88;105.85;110.76;96.86;107.38;111.45;29;20.16;20.16;13.2;26.2;75.66;54.4;96.2;4545.45;0.87;15.91;15.91;593.7;588.18;152989.35;79.4;468.08;468.08;20;30;50;1.2;2.93947368421053;18.3947368421053;0.1
99.07;104.15;109.54;89.88;105.85;110.76;30;18.66;18.66;16.2;21.2;92.1;85;96.2;1363.9;0.85;15.88;15.88;612.36;606.84;154353.25;94;483.96;483.96;20;30;50;1.2;3.02157894736842;18.5024561403509;0.7
123.51;112.68;109.32;99.07;104.15;109.54;31;16.83;16.83;15.1;18.4;90.05;82;94.9;952.8;0.9;15.84;15.84;629.19;623.67;155306.05;97.9;499.8;499.8;20;30;50;1.2;3.03947368421053;18.2280701754386;14.6
118.75;123.26;114.68;123.51;112.68;109.32;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.05736842105263;17.9536842105263;3.9
114.12;116.77;117.12;118.75;123.26;114.68;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.08973684210526;17.8830263157895;1.4
104.63;112.71;116.43;114.12;116.77;117.12;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.15684210526316;18.3013157894737;5.2
89.93;108.32;113.7;104.63;112.71;116.43;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.22394736842105;18.7196052631579;0
70.39;103.31;111.59;89.93;108.32;113.7;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.29105263157895;19.1378947368421;0
59.61;98.94;109.76;70.39;103.31;111.59;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.35815789473684;19.5561842105263;0
55.06;94.74;107.94;59.61;98.94;109.76;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.44614035087719;19.8977192982456;4.53
53.32;90.45;106.43;55.06;94.74;107.94;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.53859649122807;20.2228070175439;0
118.75;123.26;114.68;123.51;112.68;109.32;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.05736842105263;17.9536842105263;3.9
114.12;116.77;117.12;118.75;123.26;114.68;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.08973684210526;17.8830263157895;1.4
104.63;112.71;116.43;114.12;116.77;117.12;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.15684210526316;18.3013157894737;5.2
89.93;108.32;113.7;104.63;112.71;116.43;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.22394736842105;18.7196052631579;0
70.39;103.31;111.59;89.93;108.32;113.7;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.29105263157895;19.1378947368421;0
59.61;98.94;109.76;70.39;103.31;111.59;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.35815789473684;19.5561842105263;0
55.06;94.74;107.94;59.61;98.94;109.76;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.44614035087719;19.8977192982456;4.53
53.32;90.45;106.43;55.06;94.74;107.94;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.53859649122807;20.2228070175439;0
95.63;90.57;105;53.32;90.45;106.43;40;20.99;20.99;12.5;28.2;65.23;40.6;94.3;7572.23;0.91;15.51;15.51;811.69;806.17;214857.55;104.5;640.79;640.79;20;30;50;1.2;3.63105263157895;20.5478947368421;27.9
108.03;95.11;103.79;95.63;90.57;105;41;19.36;19.36;14.2;24.1;80.17;62.6;94.4;3775.52;0.75;15.47;15.47;831.05;825.52;218633.08;110.5;656.26;656.26;20;30;50;1.2;3.71368421052632;20.8905263157895;0
110.93;95.78;103.43;108.03;95.11;103.79;42;20.69;20.69;15.4;28.6;78.72;43.7;96.2;6581.35;0.75;15.43;15.43;851.74;846.22;225214.42;114.2;671.69;671.69;20;30;50;1.2;3.78526315789474;21.2528947368421;6
109.74;93.41;102.86;110.93;95.78;103.43;43;21.11;21.11;14.7;27.6;73.62;46.7;96.7;6709.98;0.91;15.38;15.38;872.85;867.33;231924.4;114.5;687.07;687.07;20;30;50;1.2;3.85684210526316;21.6152631578947;3.7
98.82;90.54;102.07;109.74;93.41;102.86;44;19.34;19.34;14.7;25.7;78.37;54.9;94.2;4332.38;0.88;15.34;15.34;892.19;886.67;236256.78;115.9;702.41;702.41;20;30;50;1.2;3.92842105263158;21.9776315789474;0.3
94.83;88.72;101.51;98.82;90.54;102.07;45;19.11;19.11;13.4;25.2;77.19;54;95.9;4403.48;1.14;15.3;15.3;911.3;905.78;240660.25;116;717.71;717.71;20;30;50;1.2;4;22.34;1.4
103.33;111.49;106.41;52.71;61.85;92.1;26;18.83;18.83;14.2;22.8;77.21;63.1;90.5;3675.15;1.08;15.99;15.99;535.06;529.54;137390.85;71.1;420.27;420.27;20;30;50;1.2;2.63;16.89;5.3
98.5;107.32;104.39;103.33;111.49;106.41;27;19.42;19.42;12.3;26.1;74.85;47.5;95.9;6242.45;0.89;15.96;15.96;554.49;548.97;143633.3;78.6;436.23;436.23;20;30;50;1.2;2.72245614035088;17.4208771929825;1.1
96.17;104.05;103.26;98.5;107.32;104.39;28;19.05;19.05;15;24.7;78.22;52.8;95.3;4810.6;0.66;15.94;15.94;573.54;568.02;148443.9;78.7;452.17;452.17;20;30;50;1.2;2.81491228070175;17.9517543859649;7.5
91.02;101.19;102.48;96.17;104.05;103.26;29;20.16;20.16;13.2;26.2;75.66;54.4;96.2;4545.45;0.87;15.91;15.91;593.7;588.18;152989.35;79.4;468.08;468.08;20;30;50;1.2;2.90736842105263;18.4826315789474;0.1
95.97;98.65;101.57;91.02;101.19;102.48;30;18.66;18.66;16.2;21.2;92.1;85;96.2;1363.9;0.85;15.88;15.88;612.36;606.84;154353.25;94;483.96;483.96;20;30;50;1.2;3.04614035087719;18.6912280701754;0.7
121.19;106.63;100.82;95.97;98.65;101.57;31;16.83;16.83;15.1;18.4;90.05;82;94.9;952.8;0.9;15.84;15.84;629.19;623.67;155306.05;97.9;499.8;499.8;20;30;50;1.2;3.21017543859649;18.7240350877193;14.6
120.06;120.87;100.63;121.19;106.63;100.82;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.37421052631579;18.7568421052632;3.9
115.99;116.33;101.5;120.06;120.87;100.63;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.50118421052632;18.8464473684211;1.4
106.9;109.27;101.94;115.99;116.33;101.5;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.53921052631579;19.0723684210526;5.2
91.76;98.4;101.39;106.9;109.27;101.94;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.57723684210526;19.2982894736842;0
75.66;87.52;100.21;91.76;98.4;101.39;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.61526315789474;19.5242105263158;0
63.87;79.64;99.16;75.66;87.52;100.21;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.65328947368421;19.7501315789474;0
105.26;104.02;99.7;63.87;79.64;99.16;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.70666666666667;20.0356140350877;29.6
101.57;99.78;99.81;105.26;104.02;99.7;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.76333333333333;20.3338596491228;0
120.06;120.87;100.63;121.19;106.63;100.82;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.37421052631579;18.7568421052632;3.9
115.99;116.33;101.5;120.06;120.87;100.63;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.50118421052632;18.8464473684211;1.4
106.9;109.27;101.94;115.99;116.33;101.5;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.53921052631579;19.0723684210526;5.2
91.76;98.4;101.39;106.9;109.27;101.94;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.57723684210526;19.2982894736842;0
75.66;87.52;100.21;91.76;98.4;101.39;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.61526315789474;19.5242105263158;0
63.87;79.64;99.16;75.66;87.52;100.21;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.65328947368421;19.7501315789474;0
105.26;104.02;99.7;63.87;79.64;99.16;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.70666666666667;20.0356140350877;29.6
101.57;99.78;99.81;105.26;104.02;99.7;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.76333333333333;20.3338596491228;0
88.51;87.54;98.82;101.57;99.78;99.81;40;20.99;20.99;12.5;28.2;65.23;40.6;94.3;7572.23;0.91;15.51;15.51;811.69;806.17;214857.55;104.5;640.79;640.79;20;30;50;1.2;3.82;20.6321052631579;0
80.42;83.22;97.7;88.51;87.54;98.82;41;19.36;19.36;14.2;24.1;80.17;62.6;94.4;3775.52;0.75;15.47;15.47;831.05;825.52;218633.08;110.5;656.26;656.26;20;30;50;1.2;3.86684210526316;20.9152631578947;0
121.76;122.83;116.16;80.42;83.22;97.7;42;20.69;20.69;15.4;28.6;78.72;43.7;96.2;6581.35;0.75;15.43;15.43;851.74;846.22;225214.42;114.2;671.69;671.69;20;30;50;1.2;3.90263157894737;21.1814473684211;36.46
113.88;114.89;107.47;121.76;122.83;116.16;43;21.11;21.11;14.7;27.6;73.62;46.7;96.7;6709.98;0.91;15.38;15.38;872.85;867.33;231924.4;114.5;687.07;687.07;20;30;50;1.2;3.93842105263158;21.4476315789474;3.7
105.31;104.47;104.13;113.88;114.89;107.47;44;19.34;19.34;14.7;25.7;78.37;54.9;94.2;4332.38;0.88;15.34;15.34;892.19;886.67;236256.78;115.9;702.41;702.41;20;30;50;1.2;3.97421052631579;21.7138157894737;0.3
102.04;101.19;102.72;105.31;104.47;104.13;45;19.11;19.11;13.4;25.2;77.19;54;95.9;4403.48;1.14;15.3;15.3;911.3;905.78;240660.25;116;717.71;717.71;20;30;50;1.2;4.01;21.98;1.4
103.18;109.5;111.91;102.04;101.19;102.72;26;18.83;18.83;14.2;22.8;77.21;63.1;90.5;3675.15;1.08;15.99;15.99;535.06;529.54;137390.85;71.1;420.27;420.27;20;30;50;1.2;2.41;16.1;0.1
98.96;107.18;110.18;103.18;109.5;111.91;27;19.42;19.42;12.3;26.1;74.85;47.5;95.9;6242.45;0.89;15.96;15.96;554.49;548.97;143633.3;78.6;436.23;436.23;20;30;50;1.2;2.55315789473684;16.7263157894737;1.1
96.4;105.18;109.3;98.96;107.18;110.18;28;19.05;19.05;15;24.7;78.22;52.8;95.3;4810.6;0.66;15.94;15.94;573.54;568.02;148443.9;78.7;452.17;452.17;20;30;50;1.2;2.69631578947368;17.3526315789474;7.5
92.13;104.19;108.21;96.4;105.18;109.3;29;20.16;20.16;13.2;26.2;75.66;54.4;96.2;4545.45;0.87;15.91;15.91;593.7;588.18;152989.35;79.4;468.08;468.08;20;30;50;1.2;2.83947368421053;17.9789473684211;0.1
98.85;102.89;106.82;92.13;104.19;108.21;30;18.66;18.66;16.2;21.2;92.1;85;96.2;1363.9;0.85;15.88;15.88;612.36;606.84;154353.25;94;483.96;483.96;20;30;50;1.2;3.0019298245614;18.2771929824561;0.7
122.99;107.95;106.1;98.85;102.89;106.82;31;16.83;16.83;15.1;18.4;90.05;82;94.9;952.8;0.9;15.84;15.84;629.19;623.67;155306.05;97.9;499.8;499.8;20;30;50;1.2;3.17491228070175;18.3964912280702;14.6
120.74;118.02;108.22;122.99;107.95;106.1;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.3478947368421;18.5157894736842;3.9
116.46;113.84;110.55;120.74;118.02;108.22;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.46539473684211;18.6342105263158;1.4
108.4;110.33;110.18;116.46;113.84;110.55;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.44973684210526;18.7505263157895;5.2
98.47;105.89;108.96;108.4;110.33;110.18;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.43407894736842;18.8668421052632;0
86.34;101.32;107.14;98.47;105.89;108.96;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.41842105263158;18.9831578947368;0
76.39;97.76;105.2;86.34;101.32;107.14;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.40276315789474;19.0994736842105;0
113.82;106.13;104.33;76.39;97.76;105.2;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.5080701754386;19.5473684210526;29.28
106.99;101.93;103.85;113.82;106.13;104.33;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.63929824561404;20.0663157894737;0
120.74;118.02;108.22;122.99;107.95;106.1;32;19.45;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;15.81;15.81;648.64;643.12;160275.83;99.3;515.61;515.61;20;30;50;1.2;3.3478947368421;18.5157894736842;3.9
116.46;113.84;110.55;120.74;118.02;108.22;33;19.18;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;15.78;15.78;667.82;662.3;165584.45;104.5;531.39;531.39;20;30;50;1.2;3.46539473684211;18.6342105263158;1.4
108.4;110.33;110.18;116.46;113.84;110.55;34;20.43;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;15.74;15.74;688.25;682.73;171114.7;104.5;547.13;547.13;20;30;50;1.2;3.44973684210526;18.7505263157895;5.2
98.47;105.89;108.96;108.4;110.33;110.18;35;22.52;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;15.71;15.71;710.77;705.25;178968.15;104.5;562.84;562.84;20;30;50;1.2;3.43407894736842;18.8668421052632;0
86.34;101.32;107.14;98.47;105.89;108.96;36;21.23;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;15.67;15.67;732;726.48;185634.12;104.5;578.51;578.51;20;30;50;1.2;3.41842105263158;18.9831578947368;0
76.39;97.76;105.2;86.34;101.32;107.14;37;19.24;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;15.63;15.63;751.25;745.73;192666.4;104.5;594.14;594.14;20;30;50;1.2;3.40276315789474;19.0994736842105;0
113.82;106.13;104.33;76.39;97.76;105.2;38;19.41;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;15.59;15.59;770.66;765.14;200338.4;104.5;609.73;609.73;20;30;50;1.2;3.5080701754386;19.5473684210526;29.28
106.99;101.93;103.85;113.82;106.13;104.33;39;20.04;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;15.55;15.55;790.7;785.18;207285.33;104.5;625.28;625.28;20;30;50;1.2;3.63929824561404;20.0663157894737;0
97.86;96.42;102.76;106.99;101.93;103.85;40;20.99;20.99;12.5;28.2;65.23;40.6;94.3;7572.23;0.91;15.51;15.51;811.69;806.17;214857.55;104.5;640.79;640.79;20;30;50;1.2;3.77052631578947;20.5852631578947;0
89.84;92.38;101.75;97.86;96.42;102.76;41;19.36;19.36;14.2;24.1;80.17;62.6;94.4;3775.52;0.75;15.47;15.47;831.05;825.52;218633.08;110.5;656.26;656.26;20;30;50;1.2;3.86631578947368;21.0442105263158;0
123.45;123.32;121.3;89.84;92.38;101.75;42;20.69;20.69;15.4;28.6;78.72;43.7;96.2;6581.35;0.75;15.43;15.43;851.74;846.22;225214.42;114.2;671.69;671.69;20;30;50;1.2;3.92223684210526;21.4356578947368;36.3
115.26;113.44;115.03;123.45;123.32;121.3;43;21.11;21.11;14.7;27.6;73.62;46.7;96.7;6709.98;0.91;15.38;15.38;872.85;867.33;231924.4;114.5;687.07;687.07;20;30;50;1.2;3.97815789473684;21.8271052631579;3.7
106.84;105.9;111.17;115.26;113.44;115.03;44;19.34;19.34;14.7;25.7;78.37;54.9;94.2;4332.38;0.88;15.34;15.34;892.19;886.67;236256.78;115.9;702.41;702.41;20;30;50;1.2;4.03407894736842;22.2185526315789;0.3
103.37;103.4;109.19;106.84;105.9;111.17;45;19.11;19.11;13.4;25.2;77.19;54;95.9;4403.48;1.14;15.3;15.3;911.3;905.78;240660.25;116;717.71;717.71;20;30;50;1.2;4.09;22.61;1.4
101.32;108.94;110.06;103.37;103.4;109.19;26;18.83;18.83;14.2;22.8;77.21;63.1;90.5;3675.15;1.08;15.99;15.99;535.06;529.54;137390.85;71.1;420.27;420.27;20;30;50;1.2;2.54;16.69;0.1
96.24;106.59;107.66;101.32;108.94;110.06;27;19.42;19.42;12.3;26.1;74.85;47.5;95.9;6242.45;0.89;15.96;15.96;554.49;548.97;143633.3;78.6;436.23;436.23;20;30;50;1.2;2.48035087719298;16.7914035087719;1.1
95.43;104.23;106.07;96.24;106.59;107.66;28;19.05;19.05;15;24.7;78.22;52.8;95.3;4810.6;0.66;15.94;15.94;573.54;568.02;148443.9;78.7;452.17;452.17;20;30;50;1.2;2.42070175438597;16.8928070175439;7.5
