"tensio_id";"parzelle_id";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"messgenauigkeit_id";"zeit_messung"
15099;38;345.925925925926;220.740740740741;135.784204671858;10;1621512000
15100;39;367.84145887607;216.617155588563;94.6884272997032;10;1621512000
15101;40;429.289415247964;191.941459799926;105.99110781771;10;1621512000
15102;41;431.567025621983;304.623096917935;87.6994434137291;10;1621512000
15103;42;397.616926503341;201.483679525222;86.5862708719852;10;1621512000
15104;43;486.524322317118;191.750092695588;108.107606679035;10;1621512000
15105;44;482.982195845697;298.406226834692;113.937823834197;10;1621512000
15106;45;315.839524517088;197.120029728725;104.897883401411;10;1621512000
15107;46;407.685459940653;193.223171184553;99.5732838589982;10;1621512000
15108;47;456.136783733826;252.558398220245;127.626992955135;10;1621512000
15109;48;387.999256229081;224.823354406843;92.0817843866171;10;1621512000
15110;33;54.9091583240638;43.5412026726058;90.0592812152649;10;1621515600
15111;34;48.2931354359926;39.3916913946588;60.6122448979592;10;1621515600
15112;35;53.3951074870274;40.8753709198813;65.6560415122313;10;1621515600
15113;36;43.4149054505006;37.2308834446919;72.0096403411198;10;1621515600
15114;37;328.679525222552;197.311827956989;84.0460282108389;10;1621515600
15115;38;335.925925925926;202.962962962963;123.919169447534;10;1621515600
15116;39;377.51767770748;208.819160787226;93.5756676557863;10;1621515600
15117;40;434.470762398224;185.642830678029;101.174509077436;10;1621515600
15118;41;445.677682881545;305.365763089491;84.3599257884972;10;1621515600
15119;42;389.450631031923;177.744807121662;83.2467532467533;10;1621515600
15120;43;507.318975120683;183.592880978865;102.170686456401;10;1621515600
15121;44;495.222551928783;287.65752409192;111.717246484086;10;1621515600
15122;45;311.381872213967;181.512448903753;100.813219457854;10;1621515600
15123;46;415.845697329377;185.425176383216;93.6363636363637;10;1621515600
15124;47;465.748613678373;243.659621802002;123.177604746014;10;1621515600
15125;48;393.205652658981;215.526217924879;80.5576208178439;10;1621515600
15126;33;59.358546533185;47.6243504083148;96.3579103371619;10;1621519200
15127;34;50.1484230055659;41.6172106824926;62.0964749536178;10;1621519200
15128;35;55.2483320978503;44.5845697329377;66.3973313565604;10;1621519200
15129;36;44.898034853541;40.9428359317001;73.4927697441601;10;1621519200
15130;37;346.854599406528;211.030774935113;88.5003711952487;10;1621519200
15131;38;363.703703703704;215.925925925926;132.447163515017;10;1621519200
15132;39;391.65984369185;217.731154845897;94.3175074183976;10;1621519200
15133;40;454.455958549223;196.7580585402;104.509077436087;10;1621519200
15134;41;463.873004084664;318.362421091719;86.5862708719852;10;1621519200
15135;42;412.093541202673;194.807121661721;85.4730983302412;10;1621519200
15136;43;532.569624953583;192.491657397108;105.881261595547;10;1621519200
15137;44;524.154302670623;300.63009636768;113.567727609178;10;1621519200
15138;45;342.21396731055;192.289111854329;104.526550315633;10;1621519200
15139;46;438.471810089021;190.995172669885;97.7179962894249;10;1621519200
15140;47;489.038817005545;250.333704115684;126.514645902855;10;1621519200
15141;48;412.543696541465;224.079583488286;89.1078066914498;10;1621519200
15142;33;63.8079347423063;48.3667409057164;97.0989255279733;10;1621522800
15143;34;52.3747680890538;42.7299703264095;62.0964749536178;10;1621522800
15144;35;58.2134914751668;45.6973293768546;66.0266864343959;10;1621522800
15145;36;47.8642936596218;42.0564216778025;73.8635520949203;10;1621522800
15146;37;359.46587537092;218.075639599555;88.5003711952487;10;1621522800
15147;38;375.925925925926;218.888888888889;133.188728216537;10;1621522800
15148;39;400.591737997767;219.959153360564;94.6884272997032;10;1621522800
15149;40;472.590673575129;200.092626898851;104.879585031493;10;1621522800
15150;41;478.354994430004;327.645748236168;86.9573283858998;10;1621522800
15151;42;428.426132145508;196.661721068249;86.2152133580705;10;1621522800
15152;43;551.507612328258;193.233222098628;106.252319109462;10;1621522800
15153;44;542.700296735905;312.120088954781;113.19763138416;10;1621522800
15154;45;364.130757800892;197.863247863248;105.640549572967;10;1621522800
15155;46;451.083086053412;193.223171184553;97.7179962894249;10;1621522800
15156;47;499.759704251386;252.187615869485;127.256210604375;10;1621522800
15157;48;428.906656749721;228.914094458907;90.2230483271375;10;1621522800
15158;33;66.403411197627;49.4803266518188;95.9874027417562;10;1621526400
15159;34;54.2300556586271;43.4718100890208;61.7254174397032;10;1621526400
15160;35;59.6960711638251;46.0682492581602;65.6560415122313;10;1621526400
15161;36;48.9766407119021;42.7988121752042;73.4927697441601;10;1621526400
15162;37;379.495548961424;221.783463107156;88.1291759465479;10;1621526400
15163;38;401.111111111111;222.962962962963;133.188728216537;10;1621526400
15164;39;417.339039821362;228.128481247679;94.3175074183976;10;1621526400
15165;40;493.686158401184;205.650240829937;104.879585031493;10;1621526400
15166;41;501.748978834014;339.89974006684;86.9573283858998;10;1621526400
15167;42;452.553823311062;204.821958456973;86.2152133580705;10;1621526400
15168;43;576.758262161159;200.27808676307;105.881261595547;10;1621526400
15169;44;570.890207715133;316.938472942921;113.19763138416;10;1621526400
15170;45;392.362555720654;197.120029728725;104.526550315633;10;1621526400
15171;46;476.676557863501;195.822502784998;96.9758812615956;10;1621526400
15172;47;521.571164510166;258.490915832406;126.514645902855;10;1621526400
15173;48;448.616586091484;230.773521755299;88.364312267658;10;1621526400
15174;33;69.3696700037078;49.4803266518188;95.9874027417562;10;1621530000
15175;34;55.3432282003711;44.2136498516321;61.3543599257885;10;1621530000
15176;35;61.5492957746479;47.1810089020771;65.6560415122313;10;1621530000
15177;36;50.8305524657026;43.9123979213066;73.4927697441601;10;1621530000
15178;37;387.655786350148;224.749721913237;89.2427616926503;10;1621530000
15179;38;415.925925925926;224.444444444444;133.559510567297;10;1621530000
15180;39;427.015258652773;229.985146676569;94.6884272997032;10;1621530000
15181;40;509.230199851961;209.355316783994;104.879585031493;10;1621530000
15182;41;518.087634608244;345.841069439287;87.3283858998145;10;1621530000
15183;42;461.09131403118;204.821958456973;86.2152133580705;10;1621530000
15184;43;593.839584106944;202.131998516871;105.881261595547;10;1621530000
15185;44;587.581602373887;322.868791697554;113.567727609178;10;1621530000
15186;45;407.592867756315;203.065774804905;104.526550315633;10;1621530000
15187;46;489.658753709199;198.050501299666;96.9758812615956;10;1621530000
15188;47;535.249537892791;261.827956989247;126.514645902855;10;1621530000
15189;48;459.401264410562;231.517292673857;89.1078066914498;10;1621530000
15190;33;70.4820170559881;49.4803266518188;95.6168951463505;10;1621533600
15191;34;56.0853432282004;44.2136498516321;61.3543599257885;10;1621533600
15192;35;62.290585618977;47.5519287833828;65.6560415122313;10;1621533600
15193;36;50.8305524657026;44.6547884187083;72.75120504264;10;1621533600
15194;37;392.106824925816;224.378939562477;88.8715664439495;10;1621533600
15195;38;427.037037037037;225.185185185185;133.188728216537;10;1621533600
15196;39;434.086341644957;231.841812105459;94.3175074183976;10;1621533600
15197;40;519.222797927461;211.948869951834;104.509077436087;10;1621533600
15198;41;531.45562569625;348.069067953955;87.3283858998145;10;1621533600
15199;42;465.174461766889;205.563798219585;85.4730983302412;10;1621533600
15200;43;606.093575937616;203.985910270671;105.139146567718;10;1621533600
15201;44;599.080118694362;322.868791697554;113.19763138416;10;1621533600
15202;45;417.994056463596;204.923820141211;104.155217229855;10;1621533600
15203;46;499.302670623145;199.164500557;96.2337662337662;10;1621533600
15204;47;545.600739371534;263.681868743048;126.143863552095;10;1621533600
15205;48;466.095202677575;232.261063592414;87.9925650557621;10;1621533600
15206;33;71.5943641082684;50.2227171492205;95.9874027417562;10;1621537200
15207;34;56.0853432282004;44.9554896142433;60.9833024118739;10;1621537200
15208;35;62.290585618977;48.293768545994;65.6560415122313;10;1621537200
15209;36;50.8305524657026;44.6547884187083;73.1219873934;10;1621537200
15210;37;395.445103857567;225.120504263997;89.2427616926503;10;1621537200
15211;38;437.037037037037;227.407407407407;133.559510567297;10;1621537200
15212;39;438.924451060662;234.069810620126;94.6884272997032;10;1621537200
15213;40;524.034048852702;214.542423119674;105.250092626899;10;1621537200
15214;41;541.110285926476;350.297066468622;87.3283858998145;10;1621537200
15215;42;468.515219005197;207.047477744807;86.2152133580705;10;1621537200
15216;43;614.634236910509;206.581386725992;105.881261595547;10;1621537200
15217;44;606.127596439169;323.610081541883;113.567727609178;10;1621537200
15218;45;424.680534918276;204.923820141211;104.897883401411;10;1621537200
15219;46;505.979228486647;201.763832157445;96.9758812615956;10;1621537200
15220;47;551.146025878004;266.648127549129;126.885428253615;10;1621537200
15221;48;469.442171811082;234.120490888806;88.7360594795539;10;1621537200
15222;33;71.2235817575083;50.2227171492205;95.2463875509448;10;1621540800
15223;34;56.0853432282004;44.2136498516321;60.2411873840446;10;1621540800
15224;35;61.9199406968125;48.293768545994;65.6560415122313;10;1621540800
15225;36;50.4597701149425;44.6547884187083;73.1219873934;10;1621540800
15226;37;390.623145400593;222.525027808676;88.8715664439495;10;1621540800
15227;38;441.111111111111;228.148148148148;133.188728216537;10;1621540800
15228;39;439.296613323409;234.441143705904;94.3175074183976;10;1621540800
15229;40;521.443375277572;215.283438310485;105.250092626899;10;1621540800
15230;41;543.338284441144;345.469736353509;87.3283858998145;10;1621540800
15231;42;464.432071269488;204.821958456973;86.2152133580705;10;1621540800
15232;43;617.233568510954;205.839822024472;105.510204081633;10;1621540800
15233;44;606.86943620178;319.532987398073;113.567727609178;10;1621540800
15234;45;425.423476968796;200.092902266815;104.526550315633;10;1621540800
15235;46;506.721068249258;201.763832157445;96.2337662337662;10;1621540800
15236;47;550.776340110906;267.389692250649;126.885428253615;10;1621540800
15237;48;465.723317218297;234.864261807363;88.364312267658;10;1621540800
15238;33;70.4820170559881;50.2227171492205;94.8758799555391;10;1621544400
15239;34;55.7142857142857;44.2136498516321;60.2411873840446;10;1621544400
15240;35;61.9199406968125;48.293768545994;65.2853965900667;10;1621544400
15241;36;50.4597701149425;44.2835931700074;72.75120504264;10;1621544400
15242;37;385.059347181009;219.558769002596;89.2427616926503;10;1621544400
15243;38;439.62962962963;228.888888888889;133.188728216537;10;1621544400
15244;39;437.06363974693;234.069810620126;94.6884272997032;10;1621544400
15245;40;515.891931902295;213.060392738051;105.620600222305;10;1621544400
15246;41;542.22428518381;338.04307463795;87.6994434137291;10;1621544400
15247;42;458.121752041574;201.854599406528;85.8441558441559;10;1621544400
15248;43;615.748236167842;204.356692621431;105.510204081633;10;1621544400
15249;44;600.93471810089;314.343958487769;113.937823834197;10;1621544400
15250;45;422.823179791976;195.63359345968;104.526550315633;10;1621544400
15251;46;504.495548961424;200.278499814333;96.6048237476809;10;1621544400
15252;47;545.600739371534;267.018909899889;127.256210604375;10;1621544400
15253;48;459.77314986984;234.864261807363;88.364312267658;10;1621544400
15254;33;70.4820170559881;50.2227171492205;94.5053723601334;10;1621548000
15255;34;55.7142857142857;44.2136498516321;60.2411873840446;10;1621548000
15256;35;61.9199406968125;48.293768545994;65.2853965900667;10;1621548000
15257;36;50.0889877641824;44.2835931700074;72.75120504264;10;1621548000
15258;37;380.608308605341;215.850945494994;87.7579806978471;10;1621548000
15259;38;435.925925925926;228.888888888889;133.188728216537;10;1621548000
15260;39;434.086341644957;232.213145191237;94.6884272997032;10;1621548000
