nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
,,,,,,21,20.6,20.6,12.1,30.3,70.2,45,88,5905.3,6.1,13.04,13.04,430.6,428.8,99012.7,70.4,286,286,40,45,15,1.2,2.12,16.59,0
,,,,,,22,20.6,20.6,12.3,29.8,70,48,85,5814.7,3.9,12.98,12.98,451.2,449.4,104827.4,88.4,298.98,298.98,40,45,15,1.2,2.33,16.96,0
,,,,,,23,21.3,21.3,12.5,30.2,72.5,49,89,5592.5,2,12.92,12.92,472.5,470.7,110419.9,88.4,311.9,311.9,40,45,15,1.2,2.53,17.32,18
,,,,,,24,22,22,14,30.9,67.8,44,85,5570.8,2.6,12.86,12.86,494.5,492.7,115990.7,88.4,324.76,324.76,40,45,15,1.2,2.72,17.67,0
,,,,,,25,21.8,21.8,13.3,30.8,65.5,40,83,5336.1,2.6,12.8,12.8,516.3,514.5,121326.8,88.5,337.56,337.56,40,45,15,1.2,2.9,18.02,0
,,,,,,26,22.7,22.7,15.1,30.7,71.8,50,86,4751.7,4.6,12.74,12.74,539,537.2,126078.5,88.5,350.3,350.3,40,45,15,1.2,3.06,18.35,0.1
,,,,,,27,20.8,20.8,17.3,25.2,69.2,58,76,2515,6,12.68,12.68,559.8,558,128593.5,111,362.98,362.98,40,45,15,1.2,3.21,18.68,0
,,,,,,28,16.4,16.4,11.9,21.5,64,49,75,5297.2,4.9,12.62,12.62,576.2,574.4,133890.7,111,375.6,375.6,40,45,15,1.2,3.34,19,22.5
,,,,,,29,17.3,17.3,8.5,25.9,66.8,49,85,5104.7,4.6,12.56,12.56,593.5,591.7,138995.4,111,388.16,388.16,40,45,15,1.2,3.46,19.31,0
,,,,,,30,20.2,20.2,12.3,27.5,73.2,49,88,4309.2,3.3,12.5,12.5,613.7,611.9,143304.6,111,400.66,400.66,40,45,15,1.2,3.56,19.61,0
,,,,,,31,21.9,21.9,14.5,30,74.5,52,95,4240.8,4.7,12.44,12.44,635.6,633.8,147545.4,111.1,413.1,413.1,40,45,15,1.2,3.65,19.9,0
,,,,,,32,20.2,20.2,16,25.7,78,64,85,2366.1,8.4,12.38,12.38,655.8,654,149911.5,114.7,425.48,425.48,40,45,15,1.2,3.72,20.19,0.1
,,,,,,33,18,18,13.8,22.6,69,50,82,3380,9.2,12.32,12.32,673.8,672,153291.5,114.7,437.8,437.8,40,45,15,1.2,3.79,20.46,3.6
,,,,,,34,18.6,18.6,11.1,25.9,65.8,45,83,4247.2,6.4,12.26,12.26,692.4,690.6,157538.7,114.8,450.06,450.06,40,45,15,1.2,3.84,20.73,0
,,,,,,35,17.7,17.7,9.9,24.9,75.8,59,88,2338.1,6.7,12.2,12.2,710.1,708.3,159876.8,121.9,462.26,462.26,40,45,15,1.2,3.89,20.98,0.1
,,,,,,36,15.6,15.6,11.6,21.7,77.5,56,89,3412.5,7.6,12.13,12.13,725.7,723.9,163289.3,126.1,474.39,474.39,40,45,15,1.2,3.93,21.23,7.1
,,,,,,37,13.2,13.2,6.7,18.6,75.5,53,93,3416.9,6.8,12.07,12.07,738.9,737.1,166706.2,126.2,486.46,486.46,40,45,15,1.2,3.96,21.47,4.2
,,,,,,38,12.1,12.1,4.1,20.4,74.8,49,92,4711.7,4.3,12.01,12.01,751,749.2,171417.9,126.2,498.47,498.47,40,45,15,1.2,3.98,21.7,0.1
,,,,,,39,13,13,4.9,22.9,75.2,47,91,4756.7,4.7,11.95,11.95,764,762.2,176174.6,126.2,510.42,510.42,40,45,15,1.2,4.01,21.92,0
,,,,,,40,14.7,14.7,5.9,24.1,77.5,55,90,4700.8,3.1,11.89,11.89,778.7,776.9,180875.4,126.2,522.31,522.31,40,45,15,1.2,4.03,22.13,0
,,,,,,41,15.9,15.9,7.4,25.2,80.5,58,95,4365,2.8,11.83,11.83,794.6,792.8,185240.4,126.2,534.14,534.14,40,45,15,1.2,4.04,22.34,0
,,,,,,42,18.4,18.4,10.9,27.6,76.5,50,93,4052.8,4.5,11.77,11.77,813,811.2,189293.2,126.2,545.91,545.91,40,45,15,1.2,4.05,22.54,0
,,,,,,43,19.1,19.1,13,27.1,75.2,52,92,2879.7,7.5,11.71,11.71,832.1,830.3,192172.9,126.2,557.62,557.62,40,45,15,1.2,4.07,22.73,0
,,,,,,44,16.2,16.2,9.3,21.6,73.2,55,88,2434.4,2.3,11.65,11.65,848.3,846.5,194607.3,126.2,569.27,569.27,40,45,15,1.2,4.07,22.91,0
,,,,,,45,14.7,14.7,6.6,24.4,77.2,53,93,4184.2,3.8,11.59,11.59,863,861.2,198791.5,126.3,580.86,580.86,40,45,15,1.2,4.08,23.08,0
,,,,,,46,16.2,16.2,7.4,26.4,76.8,51,92,4109.7,4,11.53,11.53,879.2,877.4,202901.2,126.4,592.39,592.39,40,45,15,1.2,4.09,23.25,0.1
,,,,,,47,15.24,15.24,11.94,19.49,60.2,40,80,3576.1,2.52,11.41,11.41,894.44,892.64,206477.3,126.4,603.8,603.8,40,45,15,1.2,4.09,23.41,0.1
,,,,,,48,14.42,14.42,11.1,18.72,63.38,43,80,3576.1,1.43,11.35,11.35,908.85,907.05,210053.4,126.4,615.15,615.15,40,45,15,1.2,4.1,23.56,0
,,,,,,49,15.78,15.78,10.81,21.64,55.75,36,75,3576.1,1.12,11.29,11.29,924.63,922.83,213629.5,126.4,626.44,626.44,40,45,15,1.2,4.1,23.71,0
,,,,,,50,18.38,18.38,13.26,24.92,45,27,60,3576.1,2.6,11.23,11.23,943.02,941.22,217205.6,126.4,637.67,637.67,40,45,15,1.2,4.1,23.85,0
,,,,,,51,17.27,17.27,13.94,22.34,55.62,45,63,3576.1,2.62,11.17,11.17,960.29,958.49,220781.7,126.4,648.84,648.84,40,45,15,1.2,4.11,23.98,0
